id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria,aislamiento_enc,eficiencia_construccion_enc,tipo_calefaccion_Gas,tipo_calefaccion_Losa Radiante,tipo_calefaccion_Ninguna,tipo_iluminacion_LED,tipo_iluminacion_Mixta
570,Departamento,47.7,2,1,6.0,Poor,D,0,2,1,20.9,341.08,0,1,0,3,1,0,5,1,71.8,Primavera,21.5,288.15,1,20,0.75,216.1125,37.6,Moderate,0,1,False,False,False,True,False
571,Departamento,92.8,3,3,63.0,Good,D,0,1,0,14.4,1400.31,2,2,1,0,1,0,6,1,51.9,Otoño,12.1,285.93,1,19,0.75,214.4475,35.9,Moderate,2,1,True,False,False,True,False
572,Casa,116.1,3,1,20.0,Excellent,A,0,2,0,13.8,3443.49,5,2,1,0,1,0,9,0,70.6,Verano,32.7,977.49,1,19,0.75,733.1175000000001,45.7,Moderate,3,4,False,False,True,True,False
573,Departamento,47.2,1,1,15.0,Excellent,A,0,2,1,22.1,275.08,1,1,2,2,1,0,7,1,58.1,Primavera,25.8,373.2,1,19,0.75,279.9,67.4,Efficient,3,4,False,False,False,False,True
574,Departamento,76.7,3,1,12.0,Good,E,0,1,0,8.0,913.91,0,1,0,0,1,0,2,1,50.0,Verano,33.8,108.57,1,18,0.75,81.4275,39.3,Moderate,2,0,False,False,False,False,True
575,Departamento,98.5,4,4,8.0,Good,A,0,2,0,12.2,1497.19,2,1,1,1,1,1,7,1,65.0,Primavera,18.6,221.54,1,20,0.75,166.155,70.4,Efficient,2,4,False,False,False,True,False
576,Casa,167.4,5,3,29.0,Good,B,0,7,1,19.1,802.72,2,2,4,7,1,0,16,0,59.0,Verano,28.2,7907.514453933522,1,21,0.75,5930.635840450142,46.1,Moderate,2,3,False,False,True,False,True
577,Casa,74.8,3,2,61.0,Poor,D,0,3,0,10.7,1328.85,0,1,4,3,1,0,9,1,74.1,Invierno,9.0,359.88,1,16,0.75,269.91,28.6,Moderate,0,1,True,False,False,False,True
578,Casa,171.5,6,3,44.0,Excellent,E,0,7,0,8.0,3046.7,2,2,8,3,1,0,16,1,64.0,Invierno,6.4,478.9,1,18,0.75,359.17499999999995,46.9,Moderate,3,0,True,False,False,False,True
579,Departamento,60.8,1,2,18.0,Excellent,B,0,1,0,13.9,611.27,2,1,0,0,1,0,4,1,50.0,Verano,28.6,201.53,1,20,0.75,151.1475,67.8,Efficient,3,3,False,False,False,True,False
580,Departamento,62.8,5,2,20.0,Excellent,A,0,5,0,8.0,610.78,2,1,3,8,1,0,15,1,56.5,Primavera,18.5,663.42,1,16,0.75,497.565,61.1,Efficient,3,4,False,False,False,False,False
581,Casa,91.9,4,1,36.0,Excellent,D,1,1,0,10.9,1046.06,0,1,3,0,1,0,5,0,57.0,Primavera,24.9,111.4,1,19,0.75,83.55000000000001,64.8,Efficient,3,1,False,False,True,False,True
582,Casa,63.2,2,3,19.0,Good,B,0,1,0,11.4,1075.94,1,1,0,2,1,0,5,1,81.8,Verano,25.0,235.06,1,17,0.75,176.29500000000002,58.3,Efficient,2,3,False,False,False,True,False
583,Casa,99.0,7,5,28.0,Good,A,0,3,1,20.8,461.69,1,1,4,4,1,0,11,1,69.6,Primavera,20.8,538.78,1,15,0.75,404.085,50.5,Moderate,2,4,False,False,False,False,True
584,Departamento,63.2,1,1,54.0,Poor,E,0,1,1,19.0,440.13,1,1,2,3,1,0,8,1,48.0,Primavera,22.8,349.71,1,19,0.75,262.2825,0.0,Inefficient,0,0,True,False,False,False,True
585,Departamento,52.8,1,2,4.0,Good,E,0,1,0,12.6,1348.14,0,1,0,3,1,0,5,0,78.8,Primavera,21.5,207.97,1,16,0.75,155.9775,39.4,Moderate,2,0,False,False,True,True,False
586,Departamento,40.4,1,2,13.0,Excellent,D,0,1,0,8.9,1237.62,0,1,0,0,1,0,2,0,80.2,Invierno,6.0,92.07,1,23,0.75,69.0525,57.6,Efficient,3,1,False,False,True,False,True
587,Casa,82.3,4,3,5.0,Good,E,1,8,0,12.4,2602.26,1,2,8,6,1,1,19,1,81.8,Otoño,19.8,321.6,1,21,0.75,241.2,61.2,Efficient,2,0,False,False,False,True,False
588,Departamento,48.3,2,2,55.0,Poor,B,0,3,0,10.8,650.07,0,1,1,3,1,0,6,1,52.9,Otoño,18.4,218.37,1,18,0.75,163.7775,26.0,Moderate,0,3,True,False,False,False,True
589,Casa,78.1,1,1,10.0,Excellent,C,0,1,0,13.7,2309.18,0,1,1,1,1,0,4,1,76.6,Otoño,16.9,194.24,1,20,0.75,145.68,69.4,Efficient,3,2,False,False,False,False,True
590,Departamento,62.3,1,1,60.0,Poor,B,0,2,0,12.1,413.6,0,1,2,0,1,0,4,0,39.6,Invierno,4.2,362.98,1,19,0.75,272.235,29.2,Moderate,0,3,False,False,True,False,False
591,Departamento,50.2,3,2,8.0,Good,B,0,2,0,17.3,793.24,0,1,1,1,1,0,4,1,66.4,Primavera,21.6,215.65,1,16,0.75,161.7375,58.7,Efficient,2,3,False,False,False,True,False
592,Casa,136.9,3,1,29.0,Poor,B,1,2,1,24.0,1078.81,2,2,1,3,1,0,9,1,57.1,Otoño,10.8,317.62,1,20,0.75,238.215,49.0,Moderate,0,3,False,False,False,True,False
593,Casa,52.3,2,2,34.0,Good,D,0,2,1,24.0,722.25,0,2,0,4,1,0,7,1,59.8,Verano,24.1,864.56,1,15,0.75,648.42,5.8,Inefficient,2,1,True,False,False,False,False
594,Casa,82.4,2,3,8.0,Good,A,0,1,1,24.0,824.41,0,1,0,1,1,0,3,0,76.6,Primavera,18.7,437.03,1,17,0.75,327.7725,26.7,Moderate,2,4,False,False,True,True,False
595,Departamento,72.9,4,4,9.0,Good,B,0,5,1,15.1,1330.21,1,1,4,4,1,0,11,1,69.7,Invierno,8.1,485.37,1,19,0.75,364.0275,64.4,Efficient,2,3,False,False,False,True,False
596,Departamento,82.9,1,1,28.0,Excellent,A,0,3,0,13.8,602.01,0,1,2,2,1,0,6,1,54.6,Otoño,17.2,604.02,1,18,0.75,453.015,58.0,Efficient,3,4,False,False,False,False,False
597,Departamento,82.0,1,1,21.0,Good,A,0,1,0,10.9,1615.63,1,1,0,1,1,1,5,1,81.7,Verano,25.4,263.65,1,17,0.75,197.7375,60.2,Efficient,2,4,False,False,False,False,True
598,Departamento,47.1,1,1,33.0,Average,E,0,1,0,11.6,416.03,0,1,0,1,1,0,3,1,60.7,Otoño,15.9,127.5,1,20,0.75,95.625,30.5,Moderate,1,0,True,False,False,False,True
599,Departamento,69.1,2,1,23.0,Poor,A,0,2,0,8.5,2010.8,0,1,2,1,1,0,5,1,71.0,Otoño,19.0,178.16,1,15,0.75,133.62,41.1,Moderate,0,4,False,False,False,False,True
600,Departamento,45.7,2,2,33.0,Poor,E,0,2,0,12.9,457.88,1,1,0,3,1,0,6,1,52.2,Verano,26.7,344.09,1,22,0.75,258.0675,20.4,Inefficient,0,0,True,False,False,False,True
601,Casa,119.7,3,3,19.0,Average,E,0,5,0,14.2,1705.68,3,1,3,5,1,0,13,1,68.4,Verano,26.0,624.34,1,15,0.75,468.255,33.6,Moderate,1,0,False,False,False,True,False
602,Casa,153.4,6,5,51.0,Average,A,0,7,0,14.9,5899.06,5,2,4,5,1,1,18,0,73.0,Otoño,17.3,663.18,1,15,0.75,497.385,62.5,Efficient,1,4,False,False,True,True,False
603,Casa,152.8,6,1,49.0,Poor,A,1,2,0,11.5,2157.04,3,1,2,0,1,0,7,1,66.0,Primavera,20.1,191.83,1,18,0.75,143.8725,52.2,Moderate,0,4,True,False,False,False,True
604,Departamento,85.7,2,1,71.0,Poor,D,0,3,0,16.2,502.48,0,2,3,1,1,0,7,0,66.7,Otoño,13.3,431.46,1,20,0.75,323.595,24.7,Inefficient,0,1,False,False,True,True,False
605,Departamento,59.5,5,5,30.0,Average,B,0,5,0,13.7,1150.33,0,2,3,6,1,0,12,1,66.7,Invierno,14.3,725.23,1,19,0.75,543.9225,49.0,Moderate,1,3,False,False,False,False,True
606,Casa,94.1,2,1,38.0,Good,E,0,3,0,10.3,1277.77,1,1,3,1,1,0,7,1,65.1,Invierno,10.1,208.56,1,18,0.75,156.42000000000002,38.3,Moderate,2,0,True,False,False,True,False
607,Departamento,46.2,1,1,13.0,Excellent,A,0,4,0,8.0,802.19,0,2,4,4,1,0,11,1,57.4,Invierno,11.7,341.95,1,19,0.75,256.4625,70.9,Efficient,3,4,False,False,False,False,True
608,Casa,100.0,1,2,48.0,Average,D,0,2,0,14.1,1241.73,0,1,0,0,1,0,2,1,66.6,Verano,23.5,256.7,1,22,0.75,192.525,38.0,Moderate,1,1,True,False,False,False,True
609,Departamento,63.1,3,2,18.0,Poor,B,0,5,1,11.2,422.89,1,2,5,5,1,0,14,1,71.3,Invierno,2.8,706.36,1,18,0.75,529.77,35.8,Moderate,0,3,False,False,False,False,True
610,Departamento,47.5,1,1,55.0,Poor,D,0,2,0,9.0,1330.21,0,1,0,1,1,0,3,1,53.2,Primavera,22.2,164.99,1,19,0.75,123.7425,20.7,Inefficient,0,1,True,False,False,False,True
611,Departamento,78.2,4,5,61.0,Average,E,0,2,0,12.5,1261.65,0,2,2,1,1,0,6,1,52.3,Primavera,17.5,258.36,1,19,0.75,193.77,40.7,Moderate,1,0,True,False,False,True,False
612,Departamento,64.0,2,1,28.0,Poor,D,0,1,0,8.1,653.7,0,1,0,2,1,0,4,1,47.2,Primavera,24.1,120.0,1,19,0.75,90.0,36.8,Moderate,0,1,True,False,False,True,False
613,Casa,265.5,3,1,23.0,Poor,A,0,2,0,16.2,6663.8,4,1,1,6,1,1,14,1,62.5,Verano,27.4,1311.64,1,19,0.75,983.73,4.5,Inefficient,0,4,False,True,False,False,True
614,Casa,105.0,2,1,55.0,Excellent,C,0,2,1,22.7,1049.17,0,1,3,1,1,0,6,1,65.7,Invierno,10.4,522.87,1,20,0.75,392.1525,47.9,Moderate,3,2,True,False,False,False,True
615,Casa,158.9,4,2,23.0,Good,B,0,2,0,12.9,3423.33,2,1,4,1,1,0,9,1,77.8,Invierno,9.1,712.84,1,18,0.75,534.63,26.8,Moderate,2,3,False,False,False,False,False
616,Departamento,77.5,4,1,38.0,Excellent,D,0,4,0,8.7,1110.31,0,1,1,4,1,0,7,1,59.7,Verano,33.5,274.75,1,15,0.75,206.0625,56.6,Efficient,3,1,True,False,False,False,True
617,Casa,96.7,2,1,53.0,Average,A,0,1,1,19.1,1330.21,0,1,1,1,1,0,4,1,63.1,Primavera,19.9,649.06,1,17,0.75,486.795,13.8,Inefficient,1,4,True,False,False,False,False
618,Departamento,68.1,3,1,52.0,Good,E,0,3,0,8.1,2100.05,0,2,3,6,1,1,13,1,53.1,Verano,31.2,396.96,1,18,0.75,297.72,43.0,Moderate,2,0,True,False,False,False,True
619,Casa,143.4,2,2,32.0,Poor,B,1,3,1,24.0,1330.21,0,1,5,2,1,1,10,1,74.0,Invierno,9.0,794.2,1,21,0.75,595.6500000000001,32.1,Moderate,0,3,True,False,False,False,False
620,Casa,149.3,5,5,58.0,Poor,A,0,6,1,18.3,1525.38,1,2,3,2,1,0,9,1,61.1,Primavera,19.6,494.46,1,15,0.75,370.845,39.5,Moderate,0,4,True,False,False,True,False
621,Casa,140.4,4,3,33.0,Poor,E,0,1,1,24.0,2973.46,4,1,1,1,1,1,9,0,81.2,Verano,27.6,1516.28,1,19,0.75,1137.21,0.0,Inefficient,0,0,False,False,True,False,True
622,Casa,261.1,8,4,8.0,Excellent,B,1,6,0,17.0,2797.74,4,1,0,4,1,0,10,0,73.6,Primavera,18.6,418.89,1,18,0.75,314.1675,89.8,Efficient,3,3,False,False,True,True,False
623,Casa,122.5,2,4,48.0,Poor,E,0,2,0,17.1,715.28,0,1,0,3,1,0,5,0,67.2,Otoño,16.8,333.91,1,19,0.75,250.4325,26.2,Moderate,0,0,False,False,True,False,True
624,Departamento,109.2,3,1,27.0,Good,C,0,1,0,13.6,1244.73,1,1,0,0,1,0,3,0,61.1,Otoño,16.5,367.91,1,18,0.75,275.9325,19.4,Inefficient,2,2,False,False,True,False,False
625,Departamento,118.2,4,1,47.0,Excellent,B,0,2,0,8.0,1888.64,1,1,3,3,1,0,9,0,60.8,Otoño,15.2,423.96,1,18,0.75,317.97,48.2,Moderate,3,3,False,False,True,False,False
626,Casa,102.6,2,2,70.0,Excellent,C,0,4,0,11.0,2108.98,4,1,4,3,1,0,13,1,46.0,Invierno,11.0,327.87,1,18,0.75,245.9025,69.8,Efficient,3,2,True,False,False,True,False
627,Pequeño Comercio,154.6,1,1,59.0,Good,D,0,2,0,13.0,1836.56,0,2,2,1,0,0,5,1,53.3,Invierno,4.1,221.11,1,21,0.75,165.8325,60.4,Efficient,2,1,True,False,False,True,False
628,Departamento,61.5,4,1,42.0,Poor,E,0,5,1,17.5,1804.02,0,1,2,5,1,0,9,1,74.5,Primavera,21.3,417.97,1,20,0.75,313.4775,23.9,Inefficient,0,0,True,False,False,True,False
629,Casa,84.2,3,2,54.0,Poor,E,0,3,1,24.0,553.39,1,2,0,3,1,0,7,1,56.4,Verano,33.5,781.56,1,19,0.75,586.17,9.4,Inefficient,0,0,True,False,False,False,True
630,Casa,323.2,8,3,37.0,Poor,C,0,5,0,11.7,7126.31,2,2,3,6,1,0,14,1,65.2,Otoño,17.7,570.38,1,16,0.75,427.785,37.0,Moderate,0,2,True,False,False,True,False
631,Casa,120.3,4,4,55.0,Excellent,A,0,1,1,21.4,2784.27,1,1,0,2,1,0,5,1,49.9,Primavera,19.6,319.67,1,18,0.75,239.7525,59.7,Efficient,3,4,True,False,False,True,False
632,Casa,130.5,2,1,39.0,Excellent,B,0,2,0,15.0,2142.48,4,1,1,0,1,0,7,1,62.0,Invierno,8.4,679.5,1,17,0.75,509.625,41.0,Moderate,3,3,True,False,False,False,False
633,Departamento,73.7,1,1,35.0,Good,D,0,1,1,20.7,2393.46,0,1,0,2,1,1,5,0,67.9,Primavera,19.1,590.58,1,17,0.75,442.93500000000006,14.2,Inefficient,2,1,False,False,True,False,False
634,Departamento,75.1,1,1,40.0,Poor,A,0,1,1,24.0,1196.35,0,1,0,1,1,0,3,1,43.9,Otoño,12.7,279.36,1,16,0.75,209.52,31.0,Moderate,0,4,True,False,False,True,False
635,Departamento,89.3,1,1,15.0,Poor,A,0,2,0,8.0,4172.14,0,2,1,0,1,1,5,1,79.4,Primavera,22.0,183.26,1,17,0.75,137.445,30.8,Moderate,0,4,False,True,False,False,True
636,Casa,262.0,5,5,54.0,Poor,E,0,1,1,19.1,6720.56,3,1,1,1,1,0,7,0,82.3,Verano,30.8,1159.06,1,19,0.75,869.295,0.0,Inefficient,0,0,False,False,True,False,True
637,Casa,102.6,5,2,34.0,Average,C,0,2,1,21.0,1656.16,0,1,1,2,1,1,6,1,67.7,Invierno,6.1,628.77,1,20,0.75,471.5775,21.0,Inefficient,1,2,True,False,False,False,False
638,Casa,88.0,1,1,45.0,Poor,E,0,1,0,10.8,654.34,0,1,0,1,1,0,3,1,52.2,Otoño,12.2,203.08,1,16,0.75,152.31,13.1,Inefficient,0,0,True,False,False,False,True
639,Casa,72.7,3,3,69.0,Average,C,1,5,0,12.8,1419.2,0,1,2,6,1,0,10,0,52.6,Invierno,7.9,206.26,1,18,0.75,154.695,55.5,Efficient,1,2,False,False,True,False,True
640,Casa,102.9,3,3,7.0,Good,B,0,2,1,20.5,1231.1,1,2,0,1,1,0,5,0,90.8,Primavera,24.4,333.25,1,21,0.75,249.9375,71.2,Efficient,2,3,False,False,True,True,False
641,Casa,133.5,5,3,64.0,Poor,D,1,3,0,9.8,4122.33,3,2,3,5,1,0,14,0,50.4,Verano,26.6,492.77,1,16,0.75,369.5775,47.7,Moderate,0,1,False,False,True,False,True
642,Casa,148.3,3,3,36.0,Good,D,0,8,0,11.3,1700.2,0,2,5,4,1,1,13,0,70.0,Invierno,10.5,630.06,1,19,0.75,472.545,45.2,Moderate,2,1,False,False,True,False,True
643,Casa,58.4,2,1,47.0,Poor,E,1,1,0,9.2,780.87,1,1,0,2,1,0,5,0,46.4,Otoño,12.5,162.89,1,17,0.75,122.1675,28.4,Moderate,0,0,False,False,True,False,True
644,Casa,69.6,1,3,17.0,Poor,D,0,1,1,20.1,488.9,0,1,0,2,1,1,5,1,86.0,Primavera,15.0,241.88,1,18,0.75,181.41,15.8,Inefficient,0,1,False,False,False,False,True
645,Casa,157.8,3,1,29.0,Average,D,0,3,0,9.4,3738.53,4,2,1,0,1,0,8,0,72.2,Primavera,22.5,173.98,1,20,0.75,130.485,39.4,Moderate,1,1,False,False,True,True,False
646,Casa,184.5,6,2,56.0,Good,E,0,1,1,19.3,1351.33,4,1,0,1,1,0,7,1,46.5,Primavera,25.9,453.35,1,19,0.75,340.01250000000005,14.9,Inefficient,2,0,True,False,False,True,False
647,Departamento,88.9,1,1,6.0,Good,A,0,1,1,14.0,1137.98,0,1,1,3,1,0,6,1,91.4,Invierno,11.8,413.02,1,16,0.75,309.765,41.5,Moderate,2,4,False,False,False,True,False
648,Departamento,46.9,2,2,30.0,Excellent,A,0,4,0,14.8,701.57,1,1,3,4,1,0,10,0,45.8,Primavera,19.2,405.61,1,19,0.75,304.2075,56.9,Efficient,3,4,False,False,True,False,True
649,Casa,209.4,5,3,16.0,Good,A,0,5,1,19.2,4073.33,0,2,4,7,1,1,15,0,83.9,Otoño,18.5,691.13,1,20,0.75,518.3475,72.9,Efficient,2,4,False,False,True,True,False
650,Departamento,93.8,5,4,2.0,Good,D,0,4,0,12.9,1413.05,2,2,2,4,1,1,12,1,71.9,Otoño,14.8,301.9,1,16,0.75,226.425,55.8,Efficient,2,1,False,False,False,True,False
651,Casa,140.0,7,4,10.0,Good,B,0,1,0,10.2,966.72,1,1,1,1,1,0,5,1,65.3,Otoño,17.3,134.9,1,19,0.75,101.175,55.8,Efficient,2,3,False,False,False,True,False
652,Casa,180.3,8,4,28.0,Excellent,E,0,8,1,20.2,6693.5,5,1,6,4,1,1,18,0,65.3,Primavera,17.5,1925.46,1,18,0.75,1444.095,34.3,Moderate,3,0,False,False,True,False,False
653,Casa,125.7,1,1,16.0,Average,B,0,2,0,13.9,1601.75,1,1,4,1,1,0,8,1,76.0,Invierno,4.6,251.83,1,22,0.75,188.8725,47.5,Moderate,1,3,False,False,False,False,True
654,Casa,200.6,2,3,16.0,Excellent,A,0,4,0,16.4,1330.21,0,2,1,1,1,0,5,0,55.9,Primavera,24.3,456.6,1,18,0.75,342.45000000000005,68.7,Efficient,3,4,False,False,True,True,False
655,Casa,114.9,1,1,31.0,Average,A,0,2,0,14.5,4915.44,1,1,0,2,1,0,5,1,68.0,Primavera,17.0,357.16,1,19,0.75,267.87,44.3,Moderate,1,4,True,False,False,False,True
656,Departamento,41.7,1,2,19.0,Good,A,0,1,0,11.2,415.07,0,2,1,0,1,0,4,0,82.8,Invierno,6.5,129.1,1,17,0.75,96.825,55.5,Efficient,2,4,False,False,True,False,True
657,Casa,83.9,2,1,11.0,Excellent,B,0,3,1,23.0,1839.91,0,1,3,7,1,0,12,1,73.3,Primavera,17.1,1701.4,1,18,0.75,1276.0500000000002,33.4,Moderate,3,3,False,False,False,False,False
658,Departamento,111.6,2,2,28.0,Poor,A,0,2,0,8.0,1267.55,3,2,1,0,1,0,7,1,80.0,Primavera,20.6,181.7,1,17,0.75,136.27499999999998,61.8,Efficient,0,4,False,False,False,True,False
659,Casa,61.6,1,3,14.0,Excellent,C,0,2,0,13.9,929.68,1,2,1,3,1,0,8,1,83.4,Invierno,6.7,545.99,1,18,0.75,409.4925,37.7,Moderate,3,2,False,False,False,False,False
660,Casa,117.5,5,1,28.0,Good,A,0,3,0,9.7,3808.7,1,2,2,4,1,1,11,1,66.7,Otoño,15.4,296.32,1,17,0.75,222.24,63.6,Efficient,2,4,False,False,False,False,True
661,Departamento,102.1,2,1,51.0,Average,E,0,3,0,14.1,1330.21,3,1,0,2,1,0,7,1,49.9,Invierno,7.7,432.73,1,21,0.75,324.5475,15.1,Inefficient,1,0,True,False,False,False,True
662,Casa,153.9,6,2,13.0,Excellent,E,0,3,0,15.1,1140.61,2,1,1,3,1,0,8,1,97.5,Invierno,5.6,582.93,1,19,0.75,437.1975,48.0,Moderate,3,0,False,False,False,False,True
663,Casa,141.8,2,1,31.0,Excellent,E,0,1,1,14.7,971.76,0,1,0,1,1,0,3,0,68.0,Verano,26.5,163.92,1,18,0.75,122.94,53.9,Efficient,3,0,False,False,True,True,False
664,Pequeño Comercio,124.3,1,1,20.0,Good,C,0,1,0,17.0,2284.27,4,2,0,1,0,0,7,1,63.9,Verano,28.5,628.96,1,19,0.75,471.72,19.6,Inefficient,2,2,False,False,False,False,True
665,Departamento,48.4,2,1,31.0,Average,A,0,5,0,12.9,570.24,0,2,3,5,1,1,12,1,65.2,Primavera,18.3,469.22,1,18,0.75,351.915,59.9,Efficient,1,4,True,False,False,True,False
666,Casa,73.9,3,2,28.0,Excellent,E,0,3,0,9.7,1330.21,1,1,4,2,1,0,9,1,67.5,Verano,31.6,258.82,1,20,0.75,194.115,49.0,Moderate,3,0,True,False,False,False,True
667,Departamento,51.1,2,1,63.0,Poor,D,0,6,0,9.2,611.49,1,2,2,8,1,0,14,1,38.7,Invierno,6.3,455.03,1,15,0.75,341.2725,28.2,Moderate,0,1,True,False,False,False,True
668,Departamento,85.3,1,1,21.0,Good,A,0,2,1,16.8,3321.65,3,1,0,3,1,0,8,1,59.3,Verano,29.1,686.41,1,19,0.75,514.8075,43.5,Moderate,2,4,False,False,False,True,False
669,Casa,134.1,7,1,55.0,Poor,B,0,8,0,11.5,1840.0,2,2,4,7,1,0,16,1,53.9,Primavera,22.1,526.74,1,18,0.75,395.055,43.5,Moderate,0,3,True,False,False,True,False
670,Casa,73.5,3,2,57.0,Average,D,0,1,1,19.4,1177.01,1,1,0,1,1,0,4,1,74.1,Invierno,4.0,231.63,1,16,0.75,173.7225,21.4,Inefficient,1,1,True,False,False,False,True
671,Departamento,89.2,2,1,33.0,Average,E,0,2,1,19.4,359.66,0,1,1,3,1,1,7,1,77.7,Verano,29.5,766.79,1,17,0.75,575.0925,11.0,Inefficient,1,0,True,False,False,False,False
672,Casa,77.5,4,1,18.0,Average,E,0,7,0,17.3,650.85,1,2,6,1,1,1,12,1,75.4,Otoño,18.6,621.43,1,19,0.75,466.0725,40.9,Moderate,1,0,False,False,False,False,True
673,Pequeño Comercio,66.1,1,1,20.0,Excellent,A,0,1,0,13.9,2463.13,0,2,0,0,0,0,2,1,69.4,Otoño,15.8,154.24,1,17,0.75,115.68,70.0,Efficient,3,4,False,False,False,True,False
674,Departamento,58.9,2,1,27.0,Excellent,B,0,2,0,16.2,1330.21,0,1,2,3,1,0,7,1,67.9,Invierno,9.3,475.07,1,17,0.75,356.3025,57.0,Efficient,3,3,False,False,False,False,True
675,Departamento,99.9,2,1,58.0,Average,C,0,2,0,10.4,2135.82,0,1,0,0,1,1,3,1,49.3,Verano,28.2,268.41,1,20,0.75,201.3075,34.2,Moderate,1,2,True,False,False,False,True
676,Casa,98.6,4,5,46.0,Average,E,0,7,0,11.2,1812.83,3,1,4,7,1,0,16,1,75.9,Invierno,6.7,501.8,1,19,0.75,376.35,40.9,Moderate,1,0,True,False,False,True,False
677,Casa,205.6,5,5,32.0,Poor,D,0,4,0,12.3,890.5,1,2,3,5,1,0,12,1,77.6,Primavera,20.5,566.85,1,20,0.75,425.1375000000001,32.4,Moderate,0,1,True,False,False,False,True
678,Casa,175.7,8,5,51.0,Poor,D,0,8,0,11.5,2311.6,2,1,6,4,1,0,14,1,58.1,Otoño,8.5,595.52,1,19,0.75,446.64,32.3,Moderate,0,1,True,False,False,True,False
679,Departamento,71.8,4,1,67.0,Average,E,0,4,0,14.3,1211.56,2,1,1,6,1,0,11,1,61.0,Invierno,10.6,523.04,1,19,0.75,392.28,21.3,Inefficient,1,0,True,False,False,False,True
680,Casa,294.5,8,4,55.0,Average,A,0,8,1,18.3,3804.14,2,1,6,7,1,0,17,1,59.5,Verano,31.7,1738.92,1,20,0.75,1304.19,41.0,Moderate,1,4,True,False,False,False,False
681,Departamento,65.2,2,3,5.0,Good,B,0,2,0,14.4,503.27,2,1,0,1,1,0,5,1,79.1,Primavera,12.2,244.02,1,18,0.75,183.015,71.0,Efficient,2,3,False,False,False,True,False
682,Casa,103.9,3,1,36.0,Poor,E,0,4,0,8.0,3277.83,0,2,5,2,1,1,11,1,73.0,Verano,29.4,457.63,1,18,0.75,343.2225,19.1,Inefficient,0,0,True,False,False,False,False
683,Departamento,78.5,1,1,48.0,Poor,D,0,2,0,12.2,1052.37,1,2,3,4,1,0,11,1,37.1,Verano,29.0,494.66,1,16,0.75,370.995,9.2,Inefficient,0,1,True,False,False,False,True
684,Casa,92.1,3,1,25.0,Excellent,B,0,4,1,17.9,2008.32,1,1,1,4,1,0,8,1,76.4,Primavera,17.6,547.51,1,19,0.75,410.6325,64.2,Efficient,3,3,False,False,False,False,True
685,Casa,111.0,1,1,5.0,Good,A,0,2,1,22.2,3789.02,2,1,2,2,1,1,9,1,83.1,Primavera,17.5,411.35,1,17,0.75,308.51250000000005,66.9,Efficient,2,4,False,False,False,True,False
686,Casa,100.5,1,2,65.0,Poor,D,0,1,0,14.6,491.52,0,1,0,0,1,0,2,0,67.1,Invierno,8.3,264.38,1,21,0.75,198.285,20.2,Inefficient,0,1,False,False,True,True,False
687,Departamento,72.8,1,1,60.0,Poor,D,0,1,0,15.0,915.9,3,2,1,1,1,0,8,1,48.8,Primavera,22.5,284.98,1,19,0.75,213.735,14.8,Inefficient,0,1,True,False,False,True,False
688,Casa,61.4,4,4,45.0,Poor,E,0,4,0,12.2,1330.21,0,1,1,4,1,0,7,1,57.3,Otoño,11.9,471.18,1,18,0.75,353.385,9.4,Inefficient,0,0,True,False,False,False,False
689,Departamento,37.9,1,1,19.0,Excellent,A,0,1,0,8.6,210.19,0,1,0,3,1,0,5,1,85.3,Verano,30.3,272.57,1,18,0.75,204.4275,57.3,Efficient,3,4,False,False,False,False,False
690,Casa,136.8,2,1,38.0,Poor,E,0,4,1,22.7,3050.88,1,1,1,4,1,0,8,1,79.3,Primavera,20.8,1193.23,1,16,0.75,894.9225,0.1,Inefficient,0,0,True,False,False,False,False
691,Departamento,51.5,1,1,66.0,Poor,E,0,2,1,21.2,481.57,1,1,0,2,1,0,5,1,45.9,Verano,28.1,552.39,1,21,0.75,414.2925,13.2,Inefficient,0,0,True,False,False,True,False
692,Departamento,63.6,1,3,59.0,Average,B,0,2,0,13.2,492.95,1,1,0,0,1,1,4,0,52.4,Verano,27.9,347.19,1,19,0.75,260.3925,34.4,Moderate,1,3,False,False,True,False,True
693,Departamento,63.0,1,1,37.0,Poor,E,0,2,0,12.1,1243.9,0,1,0,3,1,0,5,1,52.9,Invierno,7.2,303.64,1,17,0.75,227.73,10.3,Inefficient,0,0,True,False,False,False,False
694,Departamento,59.9,2,3,78.0,Poor,E,0,3,0,9.4,562.42,0,1,0,3,1,0,5,0,46.9,Primavera,21.2,190.99,1,19,0.75,143.2425,28.8,Moderate,0,0,False,False,True,True,False
695,Departamento,44.4,1,1,26.0,Poor,B,0,1,0,11.4,583.29,1,1,0,1,1,0,4,1,75.0,Verano,25.9,385.83,1,19,0.75,289.3725,4.8,Inefficient,0,3,False,False,False,False,False
