tipo_vivienda,cantidad_equipos,horas_alto_consumo,consumo_kwh,categoria
Casa,7,17,444.18,Moderate
Departamento,6,17,182.72,Moderate
Casa,11,21,985.16,Inefficient
Casa,17,19,757.22,Inefficient
Casa,2,20,200.98,Efficient
Casa,3,17,326.19,Inefficient
Casa,10,18,727.58,Inefficient
Departamento,7,18,415.27,Efficient
Casa,5,16,391.88,Inefficient
Departamento,4,19,171.82,Inefficient
Casa,8,14,427.21,Efficient
Casa,5,19,210.68,Moderate
Departamento,4,19,247.57,Efficient
Casa,12,21,1520.2,Moderate
Pequeño Comercio,19,12,838.65,Moderate
Casa,9,17,381.54,Moderate
Casa,10,20,298.81,Moderate
Departamento,4,18,338.77,Moderate
Departamento,10,15,632.23,Moderate
Departamento,8,16,241.81,Efficient
Departamento,6,18,162.15,Moderate
Casa,11,20,265.95,Inefficient
Departamento,5,20,467.0,Moderate
Departamento,6,20,694.06,Inefficient
Casa,9,20,302.91,Moderate
Casa,8,20,505.63,Efficient
Casa,16,16,722.31,Moderate
Casa,8,19,373.38,Moderate
Casa,2,21,336.69,Inefficient
Casa,20,20,1198.7,Efficient
Departamento,6,20,296.85,Efficient
Casa,10,15,474.92,Moderate
Casa,9,19,371.46,Moderate
Casa,5,18,376.14,Moderate
Casa,21,20,608.76,Moderate
Casa,14,23,1115.71,Efficient
Departamento,9,17,402.51,Inefficient
Departamento,3,19,187.11,Inefficient
Casa,18,19,476.24,Efficient
Casa,11,14,561.76,Efficient
Casa,13,18,352.89,Efficient
Casa,14,20,300.75,Efficient
Casa,4,17,293.91,Inefficient
Casa,9,18,320.0,Moderate
Departamento,4,17,139.94,Moderate
Casa,7,19,716.27,Inefficient
Departamento,14,19,607.89,Inefficient
Casa,16,21,783.34,Efficient
Departamento,8,17,501.3,Moderate
Departamento,7,20,490.64,Inefficient
Casa,7,18,245.48,Efficient
Departamento,14,21,807.76,Efficient
Casa,10,23,522.3,Inefficient
Casa,14,18,649.21,Inefficient
Casa,14,18,1140.88,Moderate
Departamento,4,17,165.27,Efficient
Departamento,3,14,282.45,Inefficient
Casa,6,18,235.21,Moderate
Departamento,6,21,124.3,Moderate
Casa,11,17,595.86,Efficient
Departamento,4,13,397.17,Inefficient
Casa,5,20,367.05,Efficient
Casa,10,22,538.79,Moderate
Departamento,4,18,421.34,Efficient
Casa,4,23,213.12,Moderate
Casa,6,18,424.29,Moderate
Pequeño Comercio,3,23,225.15,Inefficient
Casa,6,20,309.37,Efficient
Casa,13,20,577.53,Moderate
Casa,13,20,810.25,Inefficient
Casa,11,19,201.59,Efficient
Casa,7,20,403.46,Inefficient
Departamento,5,23,302.19,Moderate
Departamento,9,17,421.34,Efficient
Departamento,8,17,413.8,Moderate
Casa,7,19,362.17,Moderate
Casa,9,18,433.07,Moderate
Departamento,8,17,384.57,Efficient
Casa,9,18,283.43,Efficient
Casa,4,20,204.61,Efficient
Departamento,5,16,179.57,Moderate
Departamento,3,19,552.3,Inefficient
Departamento,6,18,1041.97,Inefficient
Pequeño Comercio,6,17,901.71,Inefficient
Departamento,12,20,410.34,Moderate
Casa,6,20,716.19,Inefficient
Departamento,13,20,670.86,Moderate
Casa,17,21,774.48,Moderate
Casa,9,20,500.55,Moderate
Departamento,18,17,944.04,Moderate
Departamento,2,19,131.76,Moderate
Departamento,6,17,175.19,Moderate
Casa,4,22,300.05,Moderate
Departamento,11,19,297.75,Moderate
Casa,5,15,624.64,Moderate
Casa,4,18,333.18,Inefficient
Casa,9,18,391.43,Efficient
Casa,9,18,730.78,Efficient
Departamento,10,20,758.98,Moderate
Casa,15,20,899.05,Moderate
Departamento,2,18,278.23,Moderate
Departamento,13,19,693.74,Efficient
Casa,12,22,563.28,Efficient
Departamento,5,22,434.37,Moderate
Departamento,8,18,511.42,Efficient
Casa,6,17,275.65,Inefficient
Casa,12,20,277.72,Efficient
Departamento,3,18,226.55,Efficient
Casa,9,15,360.71,Efficient
Departamento,3,15,495.11,Inefficient
Casa,13,18,560.74,Efficient
Departamento,5,18,137.25,Efficient
Casa,11,18,476.67,Efficient
Casa,13,17,1437.72,Inefficient
Casa,9,17,186.22,Moderate
Casa,13,13,393.67,Efficient
Departamento,10,20,629.71,Inefficient
Departamento,6,19,545.48,Moderate
Departamento,12,20,440.38,Moderate
Casa,13,20,343.03,Moderate
Departamento,11,18,448.11,Inefficient
Casa,10,19,416.08,Moderate
Casa,7,21,681.59,Inefficient
Casa,10,19,601.12,Efficient
Casa,9,18,506.13,Inefficient
Casa,19,17,550.73,Efficient
Casa,15,16,840.7,Inefficient
Departamento,9,18,380.6,Efficient
Departamento,4,17,251.45,Moderate
Casa,6,19,358.26,Moderate
Casa,13,22,437.37,Inefficient
Casa,16,20,689.63,Moderate
Casa,6,19,426.58,Moderate
Casa,11,19,266.17,Moderate
Casa,4,18,400.88,Moderate
Casa,7,19,653.15,Inefficient
Pequeño Comercio,10,18,391.36,Efficient
Departamento,5,15,569.31,Inefficient
Casa,7,18,366.07,Inefficient
Departamento,9,22,641.6,Moderate
Pequeño Comercio,6,22,222.89,Efficient
Pequeño Comercio,20,20,1074.85,Efficient
Departamento,7,17,467.83,Efficient
Departamento,5,20,257.59,Moderate
Casa,5,18,314.32,Inefficient
Casa,3,18,621.36,Inefficient
Casa,19,22,1716.34,Inefficient
Departamento,5,19,166.35,Efficient
Departamento,6,16,212.39,Inefficient
Departamento,5,20,613.88,Inefficient
Departamento,7,14,331.31,Moderate
Pequeño Comercio,7,17,253.46,Efficient
Casa,15,17,757.95,Efficient
Casa,19,20,674.77,Moderate
Departamento,5,17,435.5,Inefficient
Departamento,9,20,324.78,Inefficient
Casa,8,16,423.76,Moderate
Casa,12,19,362.84,Moderate
Departamento,3,17,251.27,Inefficient
Casa,9,15,338.68,Moderate
Casa,4,18,502.67,Inefficient
Departamento,7,23,537.99,Inefficient
Departamento,4,16,143.46,Inefficient
Casa,10,21,404.15,Efficient
Casa,5,19,235.41,Inefficient
Casa,5,17,219.81,Moderate
Casa,4,19,331.05,Moderate
Departamento,3,20,182.6,Moderate
Departamento,6,16,2540.86061660364,Efficient
Departamento,5,18,402.36,Efficient
Casa,9,16,345.33,Moderate
Departamento,13,19,329.04,Efficient
Casa,9,18,590.86,Efficient
Casa,9,16,913.13,Inefficient
Casa,8,16,3452.907164521889,Efficient
Casa,6,17,242.1,Moderate
Pequeño Comercio,8,18,375.74,Inefficient
Casa,8,18,459.01,Moderate
Casa,4,21,227.47,Efficient
Casa,12,17,568.32,Inefficient
Casa,13,16,673.25,Moderate
Pequeño Comercio,6,18,210.25,Inefficient
Casa,6,18,261.44,Inefficient
Casa,12,15,645.51,Efficient
Departamento,5,20,224.08,Moderate
Casa,9,20,324.51,Moderate
Casa,6,15,217.79,Efficient
Casa,5,16,331.46,Inefficient
Departamento,5,18,247.62,Moderate
Departamento,8,20,369.2,Moderate
Casa,11,20,897.99,Inefficient
Casa,10,16,194.4,Moderate
Casa,19,17,852.16,Efficient
Departamento,8,17,605.02,Efficient
Casa,8,18,950.43,Moderate
Casa,9,19,661.06,Moderate
Departamento,9,17,400.72,Moderate
Casa,6,20,345.78,Efficient
Casa,6,14,641.94,Moderate
Pequeño Comercio,6,21,420.99,Efficient
Departamento,10,21,403.13,Moderate
Casa,6,15,218.59,Moderate
Pequeño Comercio,3,19,331.67,Moderate
Casa,12,18,901.42,Efficient
Casa,13,19,545.41,Moderate
Departamento,8,18,200.42,Efficient
Departamento,7,16,133.82,Efficient
Casa,5,20,134.32,Moderate
Casa,6,18,383.46,Moderate
Departamento,5,18,443.27,Moderate
Departamento,4,20,243.35,Moderate
Departamento,3,16,224.16,Efficient
Departamento,7,18,381.14,Moderate
Casa,2,22,143.7,Moderate
Casa,7,17,328.07,Efficient
Casa,6,21,267.3,Efficient
Casa,4,19,220.16,Moderate
Casa,9,17,509.1,Efficient
Departamento,6,19,283.09,Inefficient
Departamento,5,19,293.58,Moderate
Departamento,9,21,270.87,Efficient
Casa,10,18,286.26,Efficient
Casa,5,18,127.53,Moderate
Departamento,3,19,266.55,Moderate
Departamento,5,19,318.67,Moderate
Casa,6,18,412.48,Moderate
Casa,7,16,402.42,Moderate
Departamento,2,19,265.64,Inefficient
Casa,3,17,198.12,Moderate
Casa,10,19,766.33,Efficient
Casa,18,17,443.96,Efficient
Casa,12,15,453.92,Inefficient
Casa,3,18,105.49,Efficient
Casa,13,21,586.86,Inefficient
Departamento,4,17,478.11,Efficient
Departamento,5,18,161.82,Efficient
Casa,10,19,492.61,Inefficient
Casa,6,19,379.65,Moderate
Departamento,5,22,394.94,Inefficient
Casa,6,22,445.04,Inefficient
Departamento,4,18,126.26,Efficient
Departamento,10,17,822.96,Inefficient
Casa,7,18,538.07,Moderate
Departamento,9,18,449.31,Inefficient
Departamento,5,21,168.09,Efficient
Departamento,3,20,193.76,Moderate
Casa,16,20,953.59,Efficient
Casa,6,19,516.95,Moderate
Casa,11,17,378.38,Moderate
Departamento,5,19,241.71,Moderate
Casa,3,14,169.15,Inefficient
Departamento,17,18,1087.96,Moderate
Casa,18,17,410.07,Efficient
Casa,8,21,367.16,Moderate
Departamento,6,19,310.43,Moderate
Casa,25,16,2114.3,Inefficient
Casa,7,19,354.07,Efficient
Casa,7,18,362.45,Inefficient
Casa,5,17,442.48,Moderate
Casa,4,18,455.95,Inefficient
Casa,18,19,469.36,Efficient
Casa,23,18,1685.85,Moderate
Departamento,7,18,393.06,Moderate
Casa,8,19,575.48,Efficient
Pequeño Comercio,3,17,296.66,Inefficient
Casa,11,18,756.53,Moderate
Departamento,7,19,315.78,Efficient
Pequeño Comercio,4,18,150.54,Moderate
Casa,13,18,287.48,Moderate
Casa,4,19,234.45,Inefficient
Departamento,4,20,264.57,Moderate
Pequeño Comercio,8,18,647.9,Efficient
Departamento,8,18,324.65,Efficient
Casa,3,17,104.96,Moderate
Casa,5,20,291.1,Moderate
Departamento,7,15,195.64,Moderate
Departamento,6,17,609.49,Efficient
Casa,5,21,511.06,Inefficient
Pequeño Comercio,12,20,610.06,Efficient
Casa,16,19,421.06,Moderate
Casa,13,15,461.62,Moderate
Casa,11,22,416.24,Inefficient
Casa,9,22,911.21,Moderate
Casa,8,16,518.13,Moderate
Casa,18,18,999.5,Moderate
Casa,19,19,490.48,Efficient
Casa,11,15,818.76,Moderate
Departamento,4,16,362.8,Moderate
Casa,11,20,380.97,Inefficient
Casa,7,19,550.38,Moderate
Casa,8,17,629.07,Moderate
Casa,8,19,557.45,Moderate
Casa,6,17,355.14,Moderate
Casa,10,18,481.77,Efficient
Departamento,4,16,171.21,Moderate
Casa,17,15,962.32,Moderate
Departamento,5,22,724.47,Inefficient
Departamento,12,20,429.37,Efficient
Casa,12,19,291.51,Efficient
Departamento,5,22,374.43,Efficient
Departamento,8,20,580.16,Efficient
Casa,6,18,366.11,Efficient
Casa,9,23,717.15,Inefficient
Departamento,3,19,110.97,Efficient
Casa,13,20,589.42,Moderate
Casa,12,17,740.5,Efficient
Departamento,8,18,501.74,Efficient
Casa,6,17,191.24,Efficient
Casa,6,21,195.19,Efficient
Casa,9,21,855.46,Moderate
Departamento,5,15,216.13,Efficient
Departamento,3,18,424.15,Moderate
Pequeño Comercio,10,21,738.29,Efficient
Casa,16,19,700.86,Inefficient
Departamento,7,19,444.09,Inefficient
Departamento,7,18,445.76,Moderate
Casa,11,20,399.34,Moderate
Casa,18,20,854.61,Efficient
Departamento,10,16,1048.48,Moderate
Casa,7,18,632.39,Moderate
Casa,12,17,1034.93,Moderate
Casa,7,21,774.29,Efficient
Casa,3,18,473.19,Moderate
Casa,8,17,374.3,Moderate
Casa,5,18,271.16,Moderate
Casa,15,20,726.6,Inefficient
Casa,10,18,388.99,Moderate
Casa,9,17,367.11,Moderate
Departamento,5,17,183.32,Efficient
Casa,11,19,837.27,Efficient
Casa,5,18,418.14,Moderate
Pequeño Comercio,10,18,359.89,Moderate
Casa,6,16,242.04,Moderate
Casa,7,17,318.36,Moderate
Casa,6,19,113.17,Moderate
Casa,9,20,1081.91,Moderate
Casa,5,23,296.57,Efficient
Departamento,6,22,307.46,Efficient
Casa,5,17,226.52,Moderate
Casa,12,19,582.22,Efficient
Casa,14,18,641.16,Moderate
Casa,3,19,148.3,Inefficient
Casa,5,16,441.01,Efficient
Casa,8,17,670.9,Inefficient
Casa,7,16,972.62,Inefficient
Departamento,11,18,728.71,Moderate
Departamento,4,21,395.47,Efficient
Casa,9,18,459.66,Moderate
Casa,19,15,923.94,Efficient
Departamento,8,17,628.8,Moderate
Departamento,2,17,235.83,Moderate
Casa,14,19,957.88,Moderate
Casa,8,19,410.66,Moderate
Casa,9,18,454.55,Moderate
Casa,7,18,317.11,Moderate
Departamento,8,15,700.16,Moderate
Departamento,11,20,803.92,Inefficient
Casa,5,17,302.81,Efficient
Casa,11,17,784.85,Inefficient
Departamento,10,19,692.67,Moderate
Departamento,7,17,422.45,Moderate
Departamento,6,17,377.27,Moderate
Departamento,8,20,260.69,Moderate
Departamento,9,21,458.86,Inefficient
Departamento,10,17,580.59,Moderate
Departamento,11,17,480.88,Moderate
Departamento,8,21,267.86,Efficient
Departamento,6,20,100.89,Efficient
Casa,7,18,190.87,Moderate
Pequeño Comercio,4,17,150.79,Inefficient
Departamento,12,17,604.46,Efficient
Departamento,3,20,397.24,Moderate
Departamento,4,21,493.63,Inefficient
Casa,10,16,365.99,Moderate
Departamento,6,16,473.66,Inefficient
Casa,19,19,1351.67,Moderate
Casa,15,20,473.1,Moderate
Casa,8,17,486.96,Efficient
Casa,9,14,571.37,Efficient
Departamento,5,16,336.5,Moderate
Departamento,7,20,475.29,Efficient
Casa,7,19,294.67,Moderate
Departamento,7,21,540.2,Inefficient
Departamento,3,19,205.23,Moderate
Departamento,4,19,353.47,Efficient
Casa,4,18,220.32,Moderate
Departamento,6,18,258.91,Moderate
Casa,4,18,398.65,Moderate
Casa,15,19,740.17,Inefficient
Casa,4,18,75.04,Moderate
Casa,11,21,417.65,Efficient
Departamento,11,18,565.66,Efficient
Casa,12,19,321.99,Efficient
Casa,10,18,834.14,Inefficient
Casa,9,21,1382.19,Inefficient
Casa,19,15,459.72,Efficient
Casa,4,17,245.62,Moderate
Departamento,5,16,183.64,Efficient
Casa,8,20,571.97,Moderate
Departamento,5,20,305.43,Inefficient
Casa,15,17,1293.61,Moderate
Casa,5,19,595.48,Moderate
Casa,10,19,363.84,Efficient
Casa,5,20,324.98,Moderate
Departamento,4,17,300.44,Inefficient
Departamento,7,21,344.54,Moderate
Casa,8,19,387.54,Moderate
Casa,10,16,279.04,Moderate
Departamento,5,20,318.17,Moderate
Departamento,7,16,198.75,Inefficient
Departamento,7,16,579.37,Inefficient
Departamento,7,16,294.64,Efficient
Casa,8,18,321.68,Inefficient
Casa,8,17,374.41,Efficient
Casa,9,23,287.98,Moderate
Casa,12,19,1252.87,Moderate
Casa,8,16,538.57,Efficient
Casa,7,20,678.02,Inefficient
Departamento,6,16,144.86,Moderate
Departamento,5,22,248.92,Moderate
Departamento,5,20,259.66,Inefficient
Casa,10,21,554.72,Inefficient
Departamento,10,16,1155.56,Inefficient
Departamento,17,22,1492.37,Moderate
Casa,2,18,268.78,Efficient
Departamento,5,20,835.46,Inefficient
Casa,13,18,1091.09,Inefficient
Casa,8,19,489.53,Inefficient
Casa,11,19,367.81,Efficient
Departamento,6,18,330.62,Efficient
Casa,7,21,216.21,Efficient
Departamento,7,18,348.45,Efficient
Casa,9,18,264.14,Efficient
Casa,10,17,558.42,Moderate
Casa,3,20,267.65,Moderate
Casa,8,21,1182.97,Inefficient
Casa,14,20,678.54,Moderate
Casa,4,17,159.28,Moderate
Casa,5,17,288.36,Efficient
Departamento,28,20,1296.59,Moderate
Casa,8,19,245.82,Moderate
Departamento,10,18,511.46,Moderate
Casa,9,18,285.95,Moderate
Departamento,8,16,186.65,Moderate
Casa,8,16,848.81,Inefficient
Casa,6,20,233.36,Moderate
Casa,12,20,455.75,Efficient
Casa,4,17,256.9,Inefficient
Departamento,3,20,246.98,Inefficient
Departamento,4,21,275.62,Moderate
Departamento,6,17,389.94,Inefficient
Departamento,12,18,227.29,Efficient
Casa,8,20,877.9,Moderate
Casa,4,20,149.17,Efficient
Casa,15,21,1116.45,Inefficient
Departamento,6,16,682.32,Moderate
Departamento,10,21,230.84,Moderate
Departamento,7,18,652.25,Moderate
Departamento,4,20,110.22,Efficient
Casa,11,17,421.33,Efficient
Departamento,6,17,352.37,Efficient
Casa,15,23,1041.37,Inefficient
Pequeño Comercio,8,16,459.06,Efficient
Casa,22,17,1961.95,Moderate
Casa,9,18,104.31,Efficient
Departamento,11,16,712.71,Moderate
Casa,3,19,248.58,Moderate
Casa,14,18,473.17,Moderate
Casa,12,19,856.86,Inefficient
Casa,8,18,660.12,Inefficient
Casa,7,23,119.93,Efficient
Casa,5,16,156.28,Efficient
Departamento,3,18,100.98,Efficient
Casa,5,18,248.07,Moderate
Casa,11,16,263.93,Efficient
Casa,9,19,1146.41,Inefficient
Casa,20,17,359.71,Moderate
Departamento,2,18,282.85,Moderate
Casa,12,21,526.08,Efficient
Departamento,8,17,540.6,Moderate
Casa,8,20,272.88,Moderate
Departamento,4,17,295.1,Inefficient
Casa,8,20,697.91,Inefficient
Casa,19,19,811.85,Inefficient
Casa,11,21,502.58,Efficient
Departamento,12,15,443.46,Efficient
Casa,3,20,392.18,Inefficient
Departamento,10,17,981.72,Moderate
Casa,5,19,338.74,Inefficient
Casa,10,19,360.4,Moderate
Departamento,4,18,109.4,Efficient
Casa,7,21,399.74,Inefficient
Casa,8,15,455.65,Moderate
Casa,3,19,108.34,Moderate
Departamento,15,16,388.63,Inefficient
Departamento,6,18,442.51,Inefficient
Departamento,4,17,575.61,Moderate
Departamento,4,19,246.28,Moderate
Pequeño Comercio,13,17,413.09,Moderate
Casa,9,21,640.15,Inefficient
Casa,20,16,548.71,Moderate
Casa,20,14,732.01,Efficient
Casa,7,18,222.98,Moderate
Casa,11,23,448.54,Moderate
Casa,7,20,324.58,Efficient
Pequeño Comercio,11,19,549.52,Inefficient
Casa,3,17,400.19,Inefficient
Departamento,5,18,237.01,Moderate
Casa,14,18,263.02,Moderate
Departamento,8,17,198.9,Moderate
Casa,6,20,208.41,Efficient
Departamento,7,19,323.23,Moderate
Departamento,6,18,160.33,Efficient
Departamento,12,18,383.14,Moderate
Departamento,2,15,152.6,Moderate
Casa,9,19,505.4,Moderate
Casa,9,19,813.45,Moderate
Casa,6,19,445.9,Efficient
Casa,10,14,668.99,Moderate
Departamento,13,18,359.92,Efficient
Departamento,12,19,818.33,Moderate
Departamento,6,15,228.27,Efficient
Casa,17,17,1249.61,Moderate
Casa,8,22,246.49,Moderate
Casa,21,19,557.11,Efficient
Casa,18,18,1398.7,Inefficient
Departamento,6,20,550.91,Inefficient
Departamento,3,17,282.35,Moderate
Departamento,3,19,216.1,Moderate
Casa,19,19,1210.07,Moderate
Departamento,10,18,843.86,Efficient
Departamento,4,16,360.91,Inefficient
Casa,5,19,399.93,Inefficient
Departamento,6,18,710.56,Inefficient
Departamento,6,21,192.15,Inefficient
Casa,5,20,232.03,Moderate
Casa,13,20,632.85,Efficient
Departamento,8,23,495.5,Moderate
Casa,7,18,513.94,Moderate
Departamento,9,20,696.4,Moderate
Casa,11,21,840.85,Moderate
Pequeño Comercio,6,17,373.58,Efficient
Departamento,5,20,191.81,Efficient
Casa,4,20,259.95,Inefficient
Departamento,7,22,775.84,Inefficient
Casa,16,18,726.92,Moderate
Casa,4,18,334.71,Moderate
Departamento,13,19,285.07,Efficient
Casa,5,21,301.99,Inefficient
Casa,4,17,380.31,Inefficient
Departamento,5,16,168.37,Inefficient
Casa,10,20,511.46,Moderate
Casa,11,17,749.87,Moderate
Casa,5,19,654.19,Inefficient
Departamento,4,15,177.87,Moderate
Pequeño Comercio,12,19,750.08,Inefficient
Casa,3,20,182.94,Efficient
Departamento,5,22,692.37,Inefficient
Casa,10,19,328.07,Efficient
Casa,7,17,281.47,Efficient
Casa,11,18,279.02,Inefficient
Casa,8,17,549.66,Inefficient
Departamento,6,21,322.13,Moderate
Departamento,2,19,132.18,Moderate
Casa,4,19,187.87,Efficient
Casa,9,15,347.26,Inefficient
Casa,9,20,748.46,Inefficient
Casa,12,16,857.03,Moderate
Casa,23,17,1650.28,Moderate
Casa,15,19,1042.06,Moderate
Departamento,4,14,150.18,Efficient
Departamento,4,22,212.2,Efficient
Departamento,9,19,374.15,Moderate
Departamento,6,18,244.22,Inefficient
Casa,18,20,634.9,Efficient
Casa,9,16,247.45,Efficient
Casa,12,19,864.18,Inefficient
Departamento,13,20,258.9,Inefficient
Departamento,10,14,546.13,Efficient
Casa,5,15,479.55,Inefficient
Departamento,6,19,338.43,Inefficient
Departamento,9,20,238.71,Moderate
Casa,24,12,586.77,Inefficient
Departamento,5,21,148.25,Moderate
Departamento,5,19,415.68,Efficient
Casa,3,16,204.63,Efficient
Casa,4,19,547.66,Moderate
Departamento,4,18,140.11,Inefficient
Departamento,3,18,148.81,Moderate
Departamento,13,21,467.4,Moderate
Casa,18,21,491.2,Efficient
Casa,7,22,379.81,Moderate
Casa,13,21,1474.3,Moderate
Casa,12,18,324.9,Efficient
Pequeño Comercio,14,16,498.83,Efficient
Departamento,4,12,164.89,Moderate
Casa,12,17,627.93,Moderate
Casa,15,19,1364.11,Moderate
Departamento,8,17,665.92,Moderate
Casa,3,19,237.45,Moderate
Casa,13,16,692.92,Moderate
Pequeño Comercio,21,18,633.05,Moderate
Departamento,6,17,164.62,Efficient
Pequeño Comercio,5,17,290.62,Inefficient
Departamento,9,20,612.05,Efficient
Casa,7,20,759.73,Efficient
Departamento,4,17,284.19,Inefficient
Casa,15,20,1305.07,Moderate
Casa,5,20,181.66,Efficient
Casa,2,13,142.8,Inefficient
Casa,9,21,745.02,Moderate
Casa,16,15,800.14,Moderate
Casa,22,19,1098.59,Efficient
Departamento,8,19,280.32,Efficient
Casa,9,18,1271.85,Inefficient
Casa,8,20,321.49,Inefficient
Casa,9,20,435.98,Inefficient
Pequeño Comercio,15,19,539.09,Efficient
Casa,16,19,426.98,Moderate
Departamento,2,19,246.25,Inefficient
Casa,4,16,432.26,Moderate
Casa,19,16,1433.26,Moderate
Casa,14,19,683.05,Efficient
Casa,4,16,179.38,Efficient
Casa,13,22,334.99,Efficient
Departamento,7,18,428.07,Efficient
Departamento,4,18,250.88,Efficient
Departamento,6,16,857.93,Moderate
Departamento,8,16,558.66,Efficient
Casa,10,20,284.22,Moderate
Departamento,9,19,307.7,Moderate
Departamento,10,16,362.97,Moderate
Departamento,4,16,173.22,Inefficient
Departamento,4,19,154.23,Efficient
Departamento,3,16,204.87,Moderate
Casa,15,17,511.76,Efficient
Casa,12,18,371.63,Moderate
Casa,9,23,1118.31,Inefficient
Casa,5,20,668.03,Moderate
Casa,3,16,92.21,Efficient
Casa,15,19,357.09,Efficient
Casa,5,20,454.85,Efficient
Casa,9,22,916.92,Inefficient
Casa,6,18,776.3,Inefficient
Departamento,6,17,636.37,Moderate
Casa,13,18,803.8,Inefficient
Departamento,3,16,78.0,Moderate
Departamento,5,17,454.02,Moderate
Casa,12,16,239.83,Moderate
Casa,10,19,559.08,Efficient
Casa,15,20,483.17,Moderate
Departamento,6,22,459.51,Inefficient
Departamento,11,21,983.76,Inefficient
Casa,8,17,210.23,Efficient
Casa,15,22,705.6,Efficient
Casa,7,20,433.83,Moderate
Departamento,5,19,179.5,Moderate
Casa,8,20,735.2,Moderate
Casa,12,17,436.0,Efficient
Pequeño Comercio,11,16,489.41,Efficient
Departamento,12,17,879.61,Inefficient
Casa,13,22,381.37,Moderate
Casa,5,20,513.54,Inefficient
Casa,16,22,535.72,Efficient
Casa,10,17,483.81,Moderate
Casa,8,18,435.89,Efficient
Departamento,3,17,161.49,Efficient
Pequeño Comercio,12,18,567.57,Moderate
Casa,5,18,418.64,Efficient
Casa,7,16,363.11,Moderate
Casa,6,18,102.44,Efficient
Casa,10,17,1104.93,Moderate
Casa,6,20,160.98,Efficient
Casa,7,20,465.33,Efficient
Departamento,6,18,125.42,Efficient
Departamento,3,18,413.66,Inefficient
Departamento,5,19,546.81,Moderate
Casa,10,16,893.18,Inefficient
Departamento,8,18,318.96,Inefficient
Departamento,5,21,702.06,Inefficient
Departamento,13,19,694.4,Efficient
Casa,3,15,235.11,Efficient
Departamento,5,20,182.83,Efficient
Casa,2,18,128.72,Efficient
Departamento,4,20,229.96,Moderate
Pequeño Comercio,3,17,638.67,Inefficient
Casa,9,17,405.47,Moderate
Casa,11,20,609.98,Efficient
Departamento,6,23,664.54,Moderate
Casa,6,17,301.73,Efficient
Departamento,5,21,546.56,Moderate
Casa,7,19,275.9,Efficient
Pequeño Comercio,6,22,231.72,Moderate
Departamento,4,18,115.15,Moderate
Casa,5,18,355.65,Efficient
Departamento,19,21,1248.01,Moderate
Departamento,4,16,477.98,Inefficient
Departamento,13,19,527.06,Efficient
Departamento,5,19,173.01,Inefficient
Casa,13,23,907.12,Moderate
Departamento,9,19,778.65,Moderate
Casa,17,19,1393.61,Moderate
Casa,10,17,789.47,Moderate
Departamento,4,18,307.32,Moderate
Departamento,11,18,676.21,Moderate
Casa,13,17,252.01,Moderate
Casa,12,22,348.05,Efficient
Departamento,6,18,290.12,Inefficient
Casa,7,15,335.45,Efficient
Departamento,9,18,269.41,Efficient
Casa,10,20,456.51,Moderate
Casa,11,15,1271.07,Inefficient
Departamento,5,19,528.1,Inefficient
Casa,9,19,448.87,Efficient
Casa,14,15,734.0,Efficient
Casa,8,19,627.99,Inefficient
Departamento,5,18,357.59,Efficient
Casa,9,17,244.31,Moderate
Casa,8,20,264.33,Moderate
Departamento,14,19,764.0,Moderate
Casa,10,18,568.12,Moderate
Casa,10,18,767.15,Moderate
Casa,11,17,615.96,Moderate
Pequeño Comercio,11,17,384.69,Moderate
Casa,11,19,354.3,Moderate
Casa,9,17,753.99,Moderate
Casa,10,21,774.07,Inefficient
Casa,14,18,691.71,Efficient
Departamento,13,21,273.93,Inefficient
Casa,7,19,493.69,Moderate
Departamento,2,19,153.46,Efficient
Departamento,7,17,217.41,Efficient
Pequeño Comercio,3,23,299.02,Moderate
Casa,6,18,199.48,Moderate
Casa,9,19,699.7,Inefficient
Departamento,14,17,1025.62,Moderate
Casa,10,19,392.02,Moderate
Casa,11,23,560.11,Efficient
Departamento,4,20,275.3,Moderate
Casa,2,15,142.88,Efficient
Casa,2,19,155.34,Moderate
Departamento,5,17,358.79,Moderate
Departamento,9,19,504.74,Inefficient
Departamento,7,17,536.86,Moderate
Departamento,11,18,558.13,Efficient
Casa,6,21,97.51,Efficient
Departamento,2,17,113.63,Efficient
Departamento,7,16,183.03,Efficient
Departamento,15,19,509.15,Inefficient
Casa,5,20,296.62,Efficient
Departamento,3,22,388.87,Efficient
Departamento,11,19,522.19,Moderate
Departamento,13,15,432.83,Efficient
Departamento,6,19,288.53,Efficient
Departamento,3,18,142.95,Efficient
Casa,4,19,737.77,Moderate
Departamento,5,19,272.1,Moderate
Casa,13,22,1313.77,Moderate
Casa,7,17,673.37,Moderate
Departamento,7,22,462.36,Inefficient
Departamento,5,19,87.76,Efficient
Departamento,16,19,493.09,Moderate
Casa,8,22,230.57,Efficient
Departamento,5,18,305.83,Efficient
Departamento,3,18,117.99,Moderate
Pequeño Comercio,3,19,150.8,Moderate
Departamento,3,15,139.39,Efficient
Casa,8,19,781.26,Moderate
Casa,5,17,223.43,Moderate
Casa,4,17,215.99,Moderate
Casa,15,16,766.6596065251186,Efficient
Casa,16,19,2087.98,Inefficient
Casa,6,15,344.84,Inefficient
Departamento,6,18,162.05,Moderate
Casa,5,19,369.8,Moderate
Casa,13,18,460.17,Efficient
Casa,12,17,675.69,Moderate
