tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,categoria
casa,211.0,6,3,20.0,good,a,0,8,0,13.4,5727.7,3,2,4,7,1,0,21,1,losa radiante,led,81.4,primavera,24.8,587.0,1,18,0.146,85.7,efficient
casa,166.4,3,1,52.0,good,d,0,2,0,16.2,3191.21,1,1,0,1,1,0,10,1,gas,incandescente,47.9,invierno,8.7,495.85,1,17,0.199,98.67,moderate
departamento,93.8,4,4,8.0,excellent,b,0,7,0,10.7,422.47,1,2,4,4,1,0,18,1,eléctrica,led,63.7,invierno,11.3,462.19,1,20,0.212,97.98,efficient
casa,113.0,2,1,61.0,good,e,0,3,0,9.5,1172.32,1,1,3,6,1,0,16,1,gas,mixta,50.9,otoño,10.0,440.34,1,17,0.17,74.86,moderate
casa,125.0,5,4,2.0,excellent,c,0,5,0,8.1,1958.65,1,1,5,6,1,1,21,1,eléctrica,led,87.7,otoño,16.6,303.71,1,20,0.159,48.29,efficient
casa,165.6,5,2,10.0,good,a,1,3,1,15.0,2257.19,4,1,1,5,1,0,20,1,eléctrica,mixta,67.3,verano,28.7,863.01,1,19,0.126,108.74,efficient
departamento,62.4,4,3,13.0,good,b,0,3,1,18.4,1330.0,1,1,2,4,1,0,13,0,ninguna,incandescente,82.2,verano,30.6,942.95,1,19,0.167,157.47,moderate
casa,83.5,2,2,39.0,excellent,e,0,2,0,8.2,641.37,0,1,5,1,1,0,12,1,gas,led,71.6,invierno,8.6,171.51,1,19,0.196,33.62,efficient
casa,83.1,2,2,29.0,average,e,0,3,0,9.7,797.46,0,1,1,1,1,0,7,1,eléctrica,mixta,47.0,invierno,6.0,288.69,1,20,0.175,50.52,moderate
departamento,46.5,2,2,4.0,good,e,0,1,1,20.7,491.2,1,1,1,3,1,0,12,1,eléctrica,mixta,78.3,primavera,16.4,439.0,1,21,0.14,61.46,inefficient
departamento,85.2,3,1,11.0,good,a,0,6,0,14.7,1488.71,0,1,7,4,1,0,16,1,eléctrica,incandescente,87.0,invierno,3.0,1059.37,1,15,0.124,131.36,efficient
casa,121.7,7,1,31.0,excellent,c,0,3,0,9.9,1330.0,1,1,1,2,1,0,8,1,gas,mixta,59.3,primavera,17.4,240.77,1,20,0.19,45.75,efficient
casa,83.8,3,3,53.0,average,e,0,3,1,19.4,272.59,0,1,2,2,1,0,20,1,gas,incandescente,33.9,invierno,4.2,905.62,1,18,0.19,172.07,inefficient
casa,187.0,4,2,16.0,good,b,0,3,1,20.2,4335.67,1,1,2,3,1,0,12,1,losa radiante,mixta,71.4,verano,24.8,693.67,1,17,0.182,126.25,moderate
departamento,59.1,1,1,73.0,poor,e,0,1,0,15.9,416.11,0,1,1,1,1,1,9,1,gas,mixta,48.9,primavera,22.3,285.88,1,18,0.201,57.46,inefficient
departamento,44.8,1,2,39.0,poor,d,0,1,1,18.2,2203.48,0,1,1,2,1,0,9,1,gas,mixta,70.0,verano,32.1,220.74,1,20,0.192,42.38,inefficient
departamento,43.1,3,1,7.0,good,a,0,2,1,14.3,1330.0,0,1,4,1,1,0,11,1,eléctrica,led,79.0,invierno,7.1,353.84,1,23,0.155,54.85,efficient
casa,68.1,3,1,19.0,good,e,0,3,1,16.2,305.16,2,1,2,4,1,0,15,1,eléctrica,incandescente,86.9,primavera,15.9,638.73,1,18,0.185,118.17,moderate
departamento,57.4,1,1,12.0,excellent,d,0,1,0,11.7,886.7,1,2,0,1,1,0,12,1,eléctrica,led,71.0,invierno,9.5,200.45,1,16,0.199,39.89,efficient
casa,57.4,1,1,37.0,excellent,a,1,2,1,22.2,1720.6,0,1,1,2,1,0,9,1,gas,led,50.5,invierno,8.2,285.22,1,19,0.172,49.06,efficient
casa,113.0,3,5,31.0,poor,c,0,1,0,12.2,1893.89,1,1,0,1,1,0,6,1,gas,mixta,65.2,invierno,4.8,222.25,1,16,0.189,42.01,inefficient
departamento,30.8,1,1,12.0,good,e,0,2,0,15.7,348.32,1,1,0,1,1,0,10,0,ninguna,incandescente,83.1,otoño,14.0,329.09,1,19,0.185,60.88,moderate
casa,85.1,1,2,27.0,excellent,e,0,1,1,24.0,773.06,2,1,1,1,1,0,9,1,eléctrica,incandescente,51.8,primavera,18.8,616.54,1,18,0.18,110.98,inefficient
departamento,43.0,1,1,35.0,excellent,d,0,2,1,20.5,648.65,0,1,1,5,1,0,12,1,gas,mixta,66.7,invierno,7.5,461.2,1,22,0.158,72.87,moderate
departamento,69.4,4,4,28.0,excellent,e,0,2,1,16.5,356.45,1,1,2,2,1,0,16,1,eléctrica,mixta,65.0,verano,30.9,556.83,1,22,0.207,115.26,moderate
casa,187.0,3,2,0.0,excellent,a,0,4,0,15.3,1041.34,1,1,3,0,1,0,8,0,ninguna,led,69.7,verano,24.6,564.54,1,22,0.195,110.09,efficient
casa,140.4,4,1,28.0,excellent,c,0,4,0,9.9,2113.51,2,1,3,2,1,0,16,1,eléctrica,led,78.7,verano,27.1,303.98,1,15,0.224,68.09,efficient
departamento,46.2,1,1,61.0,average,d,0,1,1,16.1,749.34,1,1,2,1,1,0,15,0,ninguna,mixta,49.4,otoño,14.9,468.17,1,16,0.203,95.04,inefficient
departamento,50.8,3,3,16.0,good,a,0,2,0,19.8,749.71,0,1,1,3,1,0,7,1,eléctrica,mixta,65.9,otoño,12.5,344.87,1,18,0.179,61.73,efficient
casa,124.8,1,1,21.0,poor,d,0,2,0,10.1,1531.25,0,1,1,4,1,0,10,1,eléctrica,mixta,77.1,verano,30.1,148.23,1,19,0.178,26.38,moderate
casa,187.1,8,5,15.0,poor,b,0,6,0,11.1,14014.95,4,1,2,10,1,0,26,1,losa radiante,mixta,80.4,otoño,16.0,810.61,1,20,0.197,159.69,moderate
casa,165.0,7,2,8.0,good,c,1,8,0,14.4,2755.71,3,2,6,7,1,0,26,1,eléctrica,led,73.5,otoño,15.4,357.19,1,16,0.2,71.44,efficient
departamento,61.1,3,1,46.0,poor,d,0,6,1,21.0,1567.75,0,2,1,6,1,0,19,1,gas,incandescente,79.3,verano,26.6,1332.92,1,18,0.193,257.25,inefficient
departamento,82.2,4,3,29.0,poor,b,0,2,0,8.0,1010.07,0,2,1,2,1,0,9,1,eléctrica,led,62.8,invierno,10.4,323.15,1,18,0.176,56.87,moderate
departamento,122.3,2,1,15.0,good,a,0,2,0,16.4,3527.71,2,1,2,1,1,0,10,0,ninguna,mixta,66.5,otoño,12.8,496.63,1,18,0.188,93.37,moderate
departamento,112.1,3,2,28.0,excellent,a,0,5,0,8.1,483.32,0,2,1,0,1,0,8,1,eléctrica,incandescente,73.5,verano,23.8,275.56,1,16,0.208,57.32,efficient
casa,129.4,3,3,9.0,excellent,a,0,3,1,16.2,855.91,2,1,2,3,1,0,13,1,eléctrica,mixta,71.9,invierno,7.4,658.2,1,18,0.178,117.16,efficient
casa,76.7,2,1,20.0,good,e,0,1,0,13.3,1574.1,0,2,1,1,1,0,7,1,eléctrica,incandescente,87.7,primavera,16.1,254.66,1,18,0.185,47.11,moderate
casa,180.2,5,1,8.0,excellent,b,0,5,0,15.0,3280.4,1,2,1,4,1,0,13,1,eléctrica,led,86.2,primavera,22.8,438.04,1,17,0.182,79.72,efficient
casa,104.6,1,1,25.0,good,b,0,1,0,12.5,1569.47,0,1,0,0,1,0,7,0,ninguna,mixta,61.9,primavera,20.5,175.18,1,18,0.175,30.66,moderate
casa,200.6,4,4,58.0,good,e,0,3,1,15.2,4544.71,2,2,2,3,1,1,14,1,gas,mixta,48.4,primavera,20.6,596.7,1,23,0.172,102.63,moderate
casa,75.9,2,1,33.0,good,b,0,5,0,15.7,2388.12,1,1,4,3,1,0,14,1,gas,mixta,70.3,primavera,19.4,616.46,1,20,0.157,96.78,efficient
departamento,94.8,2,1,49.0,excellent,e,0,2,1,21.1,1041.68,1,1,2,3,1,0,10,1,gas,incandescente,66.1,otoño,15.7,675.6,1,17,0.179,120.93,inefficient
pequeño comercio,85.1,3,2,29.0,poor,a,0,5,0,11.5,778.93,1,3,8,3,0,1,22,1,eléctrica,mixta,48.5,otoño,10.4,671.14,1,16,0.189,126.85,moderate
casa,168.7,6,5,15.0,good,b,0,8,0,9.8,3012.23,5,2,2,6,1,0,19,0,ninguna,mixta,66.3,invierno,10.6,494.13,1,17,0.19,93.88,efficient
casa,174.5,4,1,19.0,good,a,1,1,0,11.9,1025.66,1,1,0,1,1,0,8,1,eléctrica,mixta,63.4,invierno,14.7,191.78,1,19,0.165,31.64,efficient
casa,123.2,3,1,24.0,poor,e,1,4,1,20.8,1330.0,1,2,4,3,1,0,14,1,eléctrica,mixta,83.5,verano,26.7,641.67,1,20,0.159,102.03,moderate
casa,58.5,2,3,40.0,excellent,a,0,4,1,15.4,1330.0,0,1,4,1,1,0,12,1,gas,mixta,72.5,primavera,17.6,483.37,1,14,0.188,90.87,efficient
departamento,82.2,3,2,24.0,average,b,0,1,0,13.6,1520.0,1,1,0,0,1,0,10,0,ninguna,mixta,89.7,verano,24.8,344.26,1,17,0.154,53.02,inefficient
casa,126.7,1,1,39.0,excellent,b,1,1,1,24.0,833.02,1,1,0,2,1,0,6,1,gas,mixta,65.4,otoño,16.3,193.53,1,18,0.176,34.06,efficient
departamento,81.3,1,1,7.0,excellent,b,0,3,0,11.6,1096.52,0,2,5,2,1,0,20,1,eléctrica,mixta,79.4,verano,26.6,445.17,1,19,0.14,62.32,efficient
departamento,93.8,1,2,23.0,excellent,e,0,1,0,14.5,1180.55,0,1,2,0,1,0,10,1,eléctrica,mixta,69.9,invierno,8.5,328.72,1,21,0.162,53.25,moderate
casa,145.7,4,4,19.0,good,b,0,3,0,13.5,4312.28,3,2,1,1,1,1,12,1,losa radiante,led,76.6,otoño,14.0,296.46,1,19,0.222,65.81,efficient
casa,183.5,5,5,4.0,excellent,b,0,6,1,18.9,1330.0,3,2,0,4,1,0,13,1,eléctrica,mixta,100.0,verano,30.2,873.36,1,18,0.137,119.65,efficient
casa,62.8,2,1,23.0,good,b,0,3,0,9.7,1025.89,1,1,2,2,1,1,19,0,ninguna,led,61.1,invierno,5.4,243.8,1,19,0.158,38.52,efficient
casa,107.2,4,2,52.0,poor,c,0,4,0,12.1,3542.51,3,2,0,3,1,0,11,1,gas,mixta,47.4,primavera,22.6,350.87,1,17,0.175,61.4,moderate
casa,139.9,5,2,51.0,poor,e,1,8,0,10.5,2263.6,0,2,5,6,1,1,20,1,gas,mixta,51.3,verano,26.6,1305.5677082397583,1,15,0.19,55.76,moderate
casa,96.6,4,1,19.0,poor,e,0,4,0,14.2,1653.52,1,1,3,5,1,0,17,1,eléctrica,mixta,93.1,verano,24.0,489.51,1,19,0.229,112.1,moderate
casa,284.6,6,4,30.0,poor,e,0,4,0,8.1,3734.28,4,1,3,6,1,1,22,0,ninguna,led,69.6,otoño,16.6,331.61,1,18,0.218,72.29,moderate
casa,167.0,7,4,33.0,average,a,0,8,1,13.9,3619.74,0,2,8,9,1,1,24,1,gas,mixta,66.6,invierno,9.2,1451.76,1,20,0.161,233.73,moderate
casa,117.5,3,2,14.0,good,b,0,2,0,10.1,1217.13,2,1,1,1,1,0,10,1,eléctrica,mixta,71.0,verano,27.9,375.53,1,21,0.181,67.97,efficient
casa,90.1,4,3,21.0,excellent,a,0,2,0,8.6,759.65,1,2,4,3,1,0,16,1,eléctrica,mixta,55.9,otoño,19.8,263.74,1,20,0.18,47.47,efficient
casa,212.0,8,2,17.0,good,a,0,8,0,12.1,1743.2,4,2,9,2,1,0,24,1,eléctrica,mixta,64.4,primavera,15.9,849.33,1,21,0.201,170.72,moderate
casa,187.9,6,3,29.0,poor,b,0,4,1,18.4,2717.44,0,2,2,4,1,0,13,1,eléctrica,mixta,60.2,verano,25.5,699.53,1,17,0.179,125.22,moderate
departamento,78.0,4,1,42.0,poor,a,0,4,0,10.6,1719.15,1,2,3,2,1,1,13,1,gas,led,59.3,otoño,16.9,243.01,1,19,0.161,39.12,moderate
departamento,59.8,2,1,11.0,poor,a,0,3,1,17.9,656.88,0,2,0,2,1,0,9,1,eléctrica,led,91.0,primavera,18.1,347.43,1,15,0.218,75.74,moderate
casa,174.7,6,5,37.0,good,d,0,5,0,8.0,7567.21,2,2,3,8,1,0,23,0,ninguna,led,64.1,invierno,13.0,264.67,1,16,0.168,44.46,moderate
departamento,87.1,5,1,29.0,poor,a,0,8,1,15.3,1506.02,1,2,6,8,1,0,23,1,eléctrica,mixta,62.7,otoño,18.0,764.79,1,21,0.176,134.6,moderate
departamento,67.0,1,2,12.0,excellent,a,0,1,1,14.8,986.28,0,1,1,2,1,0,12,1,eléctrica,led,76.8,verano,26.3,275.89,1,19,0.153,42.21,efficient
casa,107.1,1,1,11.0,good,d,0,1,0,9.6,352.12,1,2,1,0,1,0,11,1,eléctrica,mixta,71.9,verano,29.3,276.1,1,17,0.223,61.57,moderate
casa,147.8,8,5,54.0,poor,d,0,5,0,8.0,3679.18,1,1,6,0,1,1,17,1,gas,led,49.9,otoño,15.3,242.28,1,20,0.195,47.24,moderate
departamento,50.9,3,2,17.0,good,a,0,7,0,11.8,594.67,0,2,5,2,1,0,20,1,eléctrica,mixta,66.5,otoño,15.8,613.9,1,22,0.176,108.05,efficient
departamento,84.9,2,4,59.0,poor,a,0,2,0,22.7,644.47,1,1,0,2,1,0,9,0,ninguna,mixta,69.7,verano,24.5,618.3,1,20,0.224,138.5,moderate
casa,91.4,1,2,36.0,excellent,a,0,1,0,8.0,1380.28,1,1,0,1,1,0,10,0,ninguna,mixta,57.7,invierno,9.1,137.36,1,20,0.215,29.53,efficient
departamento,61.6,6,1,20.0,poor,b,0,5,1,22.7,624.23,3,1,2,3,1,0,15,1,eléctrica,mixta,63.6,primavera,24.9,1053.63,1,19,0.214,225.48,inefficient
casa,114.2,2,2,37.0,excellent,b,0,3,0,12.0,5214.82,4,1,0,2,1,0,13,1,gas,mixta,75.2,primavera,20.4,379.43,1,19,0.179,67.92,efficient
departamento,61.3,2,1,69.0,poor,c,0,1,1,18.6,1299.05,1,1,0,1,1,0,11,0,ninguna,mixta,46.9,otoño,18.3,397.16,1,17,0.175,69.5,inefficient
casa,196.7,5,4,53.0,poor,e,1,4,1,16.6,3714.32,1,2,1,4,1,1,12,1,gas,led,61.8,invierno,8.9,263.58,1,20,0.161,42.44,moderate
departamento,86.3,2,1,46.0,poor,e,0,1,0,17.2,802.13,0,1,1,0,1,0,10,1,gas,led,72.8,primavera,20.3,252.9,1,21,0.198,50.07,inefficient
casa,109.1,5,2,14.0,excellent,b,0,5,0,10.7,4106.98,5,2,2,3,1,0,20,1,losa radiante,incandescente,79.5,otoño,17.7,515.9,1,18,0.187,96.47,efficient
casa,169.5,4,5,54.0,poor,e,0,5,0,15.9,2282.78,2,2,4,3,1,1,16,1,gas,led,48.3,primavera,27.4,631.16,1,13,0.188,118.66,inefficient
departamento,31.3,1,1,7.0,good,b,0,1,0,10.6,311.22,0,1,0,1,1,0,7,0,ninguna,led,79.1,otoño,17.2,102.67,1,20,0.167,17.15,efficient
departamento,75.3,6,3,20.0,good,b,0,4,0,11.4,490.1,1,1,2,1,1,0,8,1,eléctrica,led,86.3,verano,26.5,335.35,1,20,0.163,54.66,efficient
casa,109.3,3,3,33.0,poor,a,0,3,1,19.9,708.73,0,2,1,4,1,0,14,0,ninguna,led,42.4,verano,23.7,513.29,1,19,0.165,84.69,moderate
departamento,68.4,1,1,47.0,good,e,0,1,0,13.9,1210.77,0,1,0,0,1,0,4,1,gas,led,49.6,otoño,16.6,105.69,1,19,0.167,17.65,moderate
departamento,49.1,2,2,23.0,good,e,0,2,0,11.4,779.56,0,1,2,3,1,0,11,0,ninguna,mixta,73.2,invierno,5.1,274.92,1,18,0.157,43.16,moderate
casa,182.7,7,5,12.0,excellent,e,0,5,0,9.0,8633.75,5,1,5,2,1,1,21,1,losa radiante,mixta,88.5,invierno,9.8,471.59,1,18,0.169,79.7,efficient
casa,89.9,1,1,44.0,good,d,0,1,1,18.8,799.69,0,1,3,2,1,0,13,1,gas,mixta,58.7,primavera,18.5,543.59,1,19,0.218,118.5,inefficient
departamento,56.7,1,1,13.0,poor,e,0,1,1,20.8,728.51,1,1,2,1,1,0,7,1,eléctrica,led,73.7,verano,29.2,475.63,1,21,0.171,81.33,inefficient
departamento,55.3,2,1,32.0,good,a,0,1,0,13.4,717.54,0,1,0,1,1,0,12,1,gas,led,81.2,verano,26.4,198.96,1,18,0.176,35.02,efficient
departamento,103.6,2,1,25.0,good,e,0,1,0,13.9,830.82,0,1,2,2,1,0,14,1,eléctrica,mixta,63.8,primavera,18.6,164.88,1,18,0.173,28.52,moderate
departamento,56.7,1,1,38.0,good,b,1,1,1,20.8,2291.13,1,1,1,2,1,0,11,1,gas,incandescente,54.6,verano,31.9,611.53,1,17,0.177,108.24,moderate
departamento,45.6,3,1,8.0,good,b,0,2,1,24.0,696.16,0,1,0,3,1,0,10,1,eléctrica,led,82.9,otoño,14.0,487.29,1,19,0.17,82.84,efficient
casa,97.2,5,3,15.0,poor,a,0,3,1,17.7,3289.15,4,1,4,2,1,0,15,1,eléctrica,led,84.1,invierno,7.9,621.74,1,17,0.185,115.02,moderate
casa,111.5,2,1,48.0,good,b,0,1,0,10.3,1724.85,2,1,1,0,1,0,9,0,ninguna,led,48.4,otoño,17.6,132.4,1,17,0.188,24.89,efficient
casa,101.0,3,4,40.0,good,e,1,3,1,21.5,1107.33,0,1,1,1,1,0,10,0,ninguna,mixta,66.7,verano,32.7,363.2,1,18,0.177,64.29,efficient
departamento,34.7,2,4,29.0,poor,d,0,1,1,19.5,1029.92,0,1,2,1,1,0,7,1,eléctrica,led,45.3,invierno,10.8,505.19,1,21,0.173,87.4,inefficient
casa,142.6,3,2,37.0,poor,d,0,5,0,17.0,5936.05,5,1,6,7,1,1,26,1,gas,mixta,64.7,verano,23.2,1466.57,1,20,0.147,215.59,inefficient
departamento,64.9,2,1,28.0,good,a,0,1,0,17.2,819.84,2,1,0,5,1,0,11,1,eléctrica,mixta,60.1,invierno,12.8,480.23,1,18,0.186,89.32,moderate
casa,106.7,5,1,7.0,excellent,a,1,4,0,13.9,575.37,1,1,2,5,1,0,17,1,eléctrica,led,66.7,invierno,10.2,371.93,1,21,0.195,72.53,efficient
casa,93.7,2,1,40.0,poor,c,0,4,1,21.2,1321.27,0,1,2,4,1,0,9,0,ninguna,mixta,65.9,otoño,12.8,746.88,1,15,0.184,137.43,moderate
departamento,48.0,1,3,46.0,average,a,0,1,0,14.7,900.27,0,1,2,2,1,0,10,1,gas,led,71.2,verano,28.8,178.09,1,15,0.167,29.74,moderate
departamento,74.0,5,4,28.0,good,a,0,6,0,12.3,1381.75,1,2,5,5,1,0,21,1,eléctrica,incandescente,91.7,primavera,16.3,811.65,1,18,0.177,143.66,efficient
casa,70.4,2,4,14.0,good,a,0,4,1,20.0,1248.11,0,1,2,2,1,0,12,1,eléctrica,mixta,77.3,verano,26.1,568.5,1,18,0.199,113.13,efficient
departamento,92.5,3,1,28.0,excellent,a,0,5,0,11.3,664.84,1,2,5,4,1,0,17,1,eléctrica,mixta,76.3,verano,28.0,463.66,1,15,0.15,69.55,efficient
casa,80.2,1,1,43.0,poor,a,1,1,1,20.2,601.3,1,1,1,3,1,0,12,1,gas,incandescente,63.1,primavera,14.5,269.06,1,18,0.212,57.04,moderate
departamento,51.0,3,3,23.0,excellent,a,0,3,0,14.5,1330.0,0,2,0,1,1,0,12,1,eléctrica,mixta,79.7,verano,28.4,327.78,1,21,0.207,67.85,efficient
casa,109.6,1,1,60.0,poor,d,0,3,0,18.8,1669.33,0,1,1,0,1,0,9,1,gas,mixta,47.9,verano,26.8,564.23,1,20,0.192,108.33,inefficient
casa,142.4,4,1,61.0,poor,e,1,4,0,12.5,1952.86,0,2,4,0,1,0,12,1,gas,mixta,50.0,primavera,20.7,321.17,1,17,0.15,48.18,moderate
departamento,79.0,2,2,59.0,poor,e,0,3,0,12.6,1621.9,0,2,1,4,1,1,12,1,gas,led,59.1,otoño,16.0,274.51,1,19,0.169,46.39,moderate
casa,129.7,4,2,68.0,poor,e,0,4,0,9.1,3435.89,5,1,2,3,1,0,17,1,gas,led,66.6,verano,28.7,441.38,1,17,0.213,94.01,inefficient
casa,113.4,5,1,7.0,good,b,1,4,1,13.9,1547.05,1,2,3,5,1,0,20,1,eléctrica,mixta,96.6,primavera,18.1,565.28,1,23,0.162,91.58,efficient
casa,116.1,2,2,67.0,poor,d,0,2,0,10.7,703.26,0,1,2,2,1,1,13,1,gas,incandescente,41.7,verano,34.0,425.96,1,19,0.192,81.78,inefficient
casa,132.4,2,2,19.0,excellent,c,0,2,0,8.0,2438.69,0,2,2,1,1,0,13,0,ninguna,mixta,85.4,invierno,7.0,199.5,1,21,0.15,29.92,efficient
casa,77.7,1,1,28.0,average,b,0,2,0,13.5,912.11,0,1,2,2,1,0,9,1,eléctrica,mixta,70.9,invierno,8.8,488.18,1,16,0.2,97.64,moderate
casa,133.7,3,2,65.0,average,d,0,1,0,8.0,4260.58,2,1,1,0,1,0,9,1,gas,led,57.4,otoño,14.8,103.84,1,17,0.174,18.07,moderate
casa,198.9,6,5,26.0,good,a,0,3,1,13.4,2207.73,0,1,2,5,1,0,12,1,eléctrica,mixta,75.7,invierno,12.0,510.98,1,23,0.164,83.8,efficient
departamento,49.1,1,2,17.0,excellent,b,0,3,0,15.0,746.26,0,1,1,2,1,0,9,1,eléctrica,mixta,79.8,primavera,21.2,422.58,1,20,0.174,73.53,efficient
casa,76.5,2,4,65.0,poor,e,0,3,1,23.1,1988.22,0,1,1,2,1,0,10,1,gas,led,32.6,verano,25.4,452.01,1,21,0.146,65.99,inefficient
departamento,30.0,2,1,33.0,excellent,e,0,2,0,14.1,244.8,1,1,0,2,1,0,8,1,gas,mixta,66.1,otoño,16.1,275.63,1,21,0.165,45.48,moderate
casa,275.5,7,5,49.0,excellent,a,0,7,0,10.4,1475.33,3,2,5,3,1,0,20,1,gas,mixta,62.3,invierno,10.2,637.29,1,20,0.151,96.23,efficient
departamento,93.8,1,1,45.0,average,e,0,1,0,10.0,1867.62,1,1,2,0,1,0,7,1,gas,mixta,71.0,primavera,21.4,149.82,1,16,0.213,31.91,moderate
departamento,79.2,2,2,46.0,excellent,b,0,1,0,14.4,1955.6,2,1,0,1,1,0,7,1,gas,mixta,66.7,primavera,25.2,201.57,1,16,0.223,44.95,moderate
casa,86.5,4,1,9.0,poor,c,1,2,1,24.0,2144.82,0,2,2,1,1,1,8,1,eléctrica,mixta,63.4,primavera,19.0,211.15,1,16,0.209,44.13,moderate
casa,75.2,2,1,27.0,poor,b,0,1,1,21.7,981.64,1,1,0,2,1,0,16,1,eléctrica,mixta,48.6,primavera,23.3,570.33,1,19,0.187,106.65,inefficient
departamento,50.6,2,3,26.0,good,a,0,2,1,17.4,824.16,0,2,0,3,1,0,11,0,ninguna,mixta,50.2,primavera,23.3,296.24,1,21,0.223,66.06,efficient
casa,156.3,3,3,59.0,average,e,0,4,0,11.8,2315.33,1,1,3,2,1,0,11,1,gas,incandescente,31.5,invierno,10.1,632.56,1,20,0.159,100.58,inefficient
departamento,66.9,3,1,44.0,excellent,d,0,7,0,18.4,1126.22,0,2,10,8,1,0,25,1,gas,mixta,58.2,verano,36.4,941.73,1,20,0.14,131.84,efficient
pequeño comercio,182.8,7,2,33.0,poor,c,0,8,0,13.3,1787.11,2,3,7,7,0,0,24,1,gas,mixta,56.8,invierno,8.7,802.66,1,14,0.174,139.66,moderate
casa,85.6,1,1,54.0,poor,e,0,1,1,19.0,673.65,2,1,0,1,1,1,10,1,gas,mixta,55.1,otoño,15.7,440.02,1,18,0.185,81.4,inefficient
departamento,84.8,2,2,12.0,poor,a,0,4,1,13.9,1662.56,0,2,4,5,1,0,18,1,eléctrica,mixta,50.4,verano,24.2,582.78,1,19,0.197,114.81,moderate
departamento,99.6,3,1,31.0,poor,c,0,4,0,9.4,705.63,1,1,2,3,1,0,12,0,ninguna,mixta,58.7,verano,21.9,392.62,1,17,0.197,77.35,inefficient
departamento,46.9,2,1,26.0,poor,b,0,5,1,20.5,1330.0,1,1,6,6,1,0,20,1,eléctrica,mixta,77.1,verano,31.7,1050.33,1,18,0.189,198.51,moderate
casa,113.9,3,1,29.0,excellent,a,1,4,0,13.1,4265.08,2,1,2,5,1,0,16,1,losa radiante,mixta,64.1,invierno,9.9,241.11,1,19,0.152,36.65,efficient
pequeño comercio,60.5,1,1,18.0,good,c,0,1,0,14.4,913.12,0,2,0,0,0,0,5,1,eléctrica,mixta,85.3,invierno,5.4,242.14,1,19,0.17,41.16,moderate
casa,113.1,4,2,15.0,good,b,0,5,0,8.2,1605.69,2,2,1,1,1,0,10,1,eléctrica,mixta,74.4,otoño,18.7,242.15,1,17,0.218,52.79,efficient
casa,122.3,3,3,39.0,average,a,0,3,0,15.6,1641.46,1,1,2,3,1,0,13,0,ninguna,mixta,76.0,invierno,12.2,410.67,1,18,0.183,75.15,efficient
casa,191.8,5,3,47.0,average,e,0,2,0,9.3,3196.15,4,1,2,2,1,1,16,1,gas,mixta,57.6,primavera,22.9,340.8,1,18,0.208,70.89,moderate
casa,164.0,4,1,48.0,good,b,0,1,0,15.3,2753.55,2,1,1,0,1,1,9,1,gas,mixta,66.7,otoño,15.5,307.12,1,22,0.21,64.5,moderate
casa,234.7,5,2,57.0,poor,d,0,2,0,8.0,3487.4,0,1,1,1,1,0,11,1,gas,mixta,54.1,primavera,23.0,242.38,1,17,0.193,46.78,inefficient
casa,123.1,3,1,12.0,poor,b,0,1,1,23.0,2254.81,0,1,0,2,1,0,8,1,eléctrica,led,79.5,otoño,15.2,385.01,1,19,0.191,73.54,inefficient
casa,78.2,4,5,53.0,poor,d,0,2,0,9.1,467.88,0,1,3,1,1,0,10,1,gas,mixta,45.1,otoño,9.5,207.57,1,17,0.187,38.82,inefficient
departamento,66.4,1,1,36.0,poor,b,0,1,0,13.9,1688.75,0,1,2,1,1,0,9,1,gas,led,74.4,invierno,4.3,86.01,1,16,0.17,14.62,moderate
casa,221.3,7,3,47.0,poor,e,0,8,0,8.7,8236.06,2,1,4,5,1,0,19,0,ninguna,mixta,68.7,invierno,13.3,486.04,1,21,0.182,88.46,inefficient
departamento,69.3,1,3,28.0,poor,e,0,1,0,14.9,1330.0,0,1,0,1,1,0,7,0,ninguna,mixta,64.9,invierno,10.7,239.34,1,20,0.196,46.91,inefficient
casa,68.2,4,2,33.0,average,d,0,5,0,9.7,1116.05,1,1,2,2,1,0,10,0,ninguna,led,66.7,otoño,19.2,257.91,1,17,0.176,45.39,moderate
pequeño comercio,87.6,1,1,12.0,good,a,0,1,0,13.0,1142.54,3,2,1,2,0,0,10,1,eléctrica,led,69.6,verano,24.4,360.39,1,18,0.192,69.19,moderate
casa,96.5,3,1,28.0,good,b,0,5,0,10.9,983.22,2,1,1,2,1,0,16,1,eléctrica,led,69.7,invierno,11.6,474.78,1,19,0.158,75.02,efficient
casa,135.0,6,4,39.0,excellent,e,0,4,1,22.3,786.28,2,2,2,5,1,0,13,0,ninguna,led,69.8,primavera,23.4,696.57,1,15,0.162,112.84,efficient
casa,191.2,8,3,61.0,poor,c,0,8,0,12.2,1758.37,0,2,8,6,1,0,21,1,gas,led,49.7,verano,28.0,490.93,1,18,0.185,90.82,moderate
