id,tipo_vivienda,metros_cuadrados,habitaciones,baños,antiguedad_vivienda,aislamiento,eficiencia_construccion,paneles_solares,cantidad_personas,trabajo_remoto,horas_en_casa,ingreso_mensual,aires_acondicionados,heladeras,televisores,computadoras,lavadoras,secadoras,cantidad_equipos,calefaccion,tipo_calefaccion,tipo_iluminacion,electrodomesticos_eficientes,factor_estacional,temperatura_media,consumo_kwh,uso_horario_pico,horas_alto_consumo,tarifa_kwh,costo_estimado,energy_efficiency_score,categoria
2007,Casa,56.6,1,1,62.0,Poor,E,False,1,False,14.8,1049.96,0,1,1,0,1,0,9,True,Gas,Mixta,63.5,Primavera,24.6,184.47,True,20,0.203,37.45,10.7,Inefficient
2008,Departamento,31.8,1,2,19.0,Excellent,C,False,3,False,15.2,677.55,0,1,1,2,1,0,10,True,Eléctrica,LED,75.0,Otoño,12.4,207.23,True,16,0.196,40.62,78.6,Efficient
2009,Departamento,51.8,1,1,25.0,Excellent,A,False,1,False,11.9,1054.29,0,1,1,1,1,0,8,True,Eléctrica,Incandescente,78.5,Verano,26.2,318.1,True,20,0.206,65.53,54.7,Efficient
2010,Casa,111.8,5,3,30.0,Poor,D,True,1,True,22.1,1769.87,0,1,1,2,1,1,10,True,Eléctrica,Incandescente,60.1,Otoño,13.3,278.8,True,20,0.177,49.35,27.1,Moderate
2011,Casa,187.7,6,5,40.0,Excellent,A,False,5,False,10.1,4701.02,3,2,6,2,1,0,16,True,Gas,Mixta,84.9,Verano,28.7,538.46,True,18,0.191,102.85,70.0,Efficient
2012,Casa,161.0,5,5,51.0,Poor,B,False,6,False,11.6,1448.18,1,1,4,5,1,0,18,True,Gas,LED,68.3,Primavera,23.3,480.58,True,16,0.159,76.41,40.8,Moderate
2013,Casa,225.7,5,4,11.0,Excellent,A,False,5,False,11.0,7084.08,0,2,3,6,1,0,20,True,Losa Radiante,LED,86.2,Verano,21.0,542.96,True,20,0.164,89.05,81.9,Efficient
2014,Departamento,43.9,1,1,12.0,Good,C,False,3,False,10.3,,0,1,1,5,1,0,15,True,Eléctrica,Mixta,93.4,Primavera,20.5,253.14,True,18,0.146,36.96,60.0,Efficient
2015,Pequeño Comercio,64.5,1,1,45.0,Poor,E,False,1,False,12.4,436.76,1,3,2,1,0,0,8,True,Gas,LED,65.9,Invierno,8.4,138.18,True,17,0.196,27.08,16.8,Inefficient
2016,Casa,169.2,5,3,50.0,Average,C,False,8,False,15.4,5357.43,1,2,6,6,1,1,24,True,Gas,Mixta,69.9,Invierno,2.0,738.65,True,19,0.177,130.74,41.5,Moderate
2017,Departamento,65.6,1,1,19.0,Good,A,False,1,False,11.4,657.73,0,2,2,1,1,0,10,True,Eléctrica,LED,69.8,Verano,28.4,138.36,True,18,0.174,24.07,66.5,Efficient
2018,Casa,80.5,5,3,40.0,Average,E,False,7,False,12.1,1198.42,1,2,6,11,1,0,26,False,Ninguna,Incandescente,63.4,Primavera,24.9,1086.15,True,19,0.157,170.53,26.4,Moderate
2019,Departamento,51.6,1,1,43.0,Poor,B,False,1,True,22.5,459.37,0,1,1,1,1,0,8,True,Gas,Mixta,67.2,Otoño,13.5,315.96,True,18,0.182,57.5,18.0,Inefficient
2020,Pequeño Comercio,165.7,3,3,13.0,Good,B,False,3,False,14.7,1701.69,1,2,3,1,0,1,12,True,Eléctrica,Mixta,74.3,Verano,26.5,610.6,True,18,0.169,103.19,58.2,Efficient
2021,Casa,94.6,2,1,50.0,Poor,C,False,1,False,13.0,775.7,2,1,0,0,1,0,10,True,Gas,LED,47.6,Primavera,19.1,186.45,True,18,0.191,35.61,23.0,Inefficient
2022,Departamento,50.9,2,4,40.0,Poor,E,True,1,False,18.9,2407.82,0,1,0,0,1,0,7,True,Gas,Mixta,61.3,Otoño,12.5,134.86,True,20,0.156,21.04,28.2,Moderate
2023,Casa,93.3,6,2,33.0,Poor,A,False,6,False,8.0,857.63,0,1,4,2,1,0,15,True,Gas,LED,59.0,Verano,26.9,201.51,True,19,0.203,40.91,50.5,Moderate
2024,Casa,131.0,4,3,25.0,Poor,B,False,4,True,20.4,2102.68,0,2,4,5,1,0,20,True,Eléctrica,Mixta,53.1,Invierno,6.8,913.58,True,17,0.239,218.35,29.9,Moderate
2025,Departamento,68.9,2,3,46.0,Excellent,E,False,3,False,11.3,1147.39,0,1,3,5,1,0,11,True,Gas,Incandescente,61.2,Verano,25.1,446.49,True,18,0.182,81.26,38.7,Moderate
2026,Departamento,67.8,2,4,48.0,Excellent,E,False,2,True,19.4,1112.5,1,1,1,3,1,0,14,True,Gas,LED,45.2,Otoño,14.9,397.84,True,18,0.193,76.78,41.6,Moderate
2027,Pequeño Comercio,48.7,1,1,20.0,Good,C,False,1,False,16.1,1023.89,1,2,2,0,0,0,8,True,Eléctrica,LED,72.3,Primavera,20.7,136.54,True,14,0.207,28.26,56.4,Efficient
2028,Departamento,62.6,3,4,27.0,Excellent,A,False,5,False,10.3,1126.39,0,2,4,4,1,0,16,True,Eléctrica,Mixta,,Invierno,11.2,462.97,True,16,0.189,87.5,67.6,Efficient
2029,Departamento,87.3,1,1,16.0,Excellent,B,False,3,True,17.0,3109.23,0,2,0,1,1,0,7,True,Eléctrica,Mixta,82.6,Primavera,19.7,382.45,True,20,0.166,63.49,71.6,Efficient
2030,Casa,94.8,4,2,37.0,Good,E,False,5,True,19.3,700.44,1,1,3,7,1,0,19,True,Gas,LED,42.3,Otoño,11.7,766.34,True,21,0.172,131.81,38.5,Moderate
2031,Casa,94.6,3,1,32.0,Good,A,False,1,True,17.6,2767.71,2,1,2,2,1,0,14,True,Gas,Mixta,64.7,Invierno,10.9,421.72,True,15,0.174,73.38,33.6,Moderate
2032,Departamento,78.0,1,1,12.0,Good,B,False,2,False,11.7,387.92,0,1,0,6,1,0,14,False,Ninguna,LED,67.9,Invierno,3.0,230.92,True,15,0.162,37.41,70.2,Efficient
2033,Departamento,141.7,1,1,43.0,Poor,D,False,1,False,14.1,1864.32,2,1,0,1,1,0,12,True,Gas,Mixta,65.5,Primavera,18.1,323.1,True,17,0.186,60.1,10.7,Inefficient
2034,Departamento,59.3,3,2,23.0,Excellent,E,False,3,False,8.0,711.93,0,1,0,2,1,0,13,True,Eléctrica,Mixta,75.2,Otoño,16.9,181.45,True,20,0.151,27.4,52.4,Moderate
2035,Casa,208.1,6,5,12.0,Excellent,B,False,7,False,14.0,9979.92,3,2,11,8,1,1,27,True,Losa Radiante,Incandescente,75.0,Invierno,1.3,1445.73,True,19,0.194,280.47,52.7,Efficient
2036,Departamento,70.9,2,1,22.0,Good,B,False,3,True,22.2,947.43,0,1,1,3,1,0,14,True,Eléctrica,LED,85.5,Otoño,16.9,481.88,True,18,0.188,90.59,66.6,Efficient
2037,Casa,162.9,4,3,21.0,Average,D,True,1,False,9.6,3136.84,5,1,0,0,1,1,13,True,Eléctrica,Mixta,51.8,Otoño,14.6,129.08,True,22,0.173,22.33,42.5,Moderate
2038,Casa,194.9,4,5,47.0,Good,E,False,8,True,20.9,1915.72,4,1,9,11,1,0,30,True,Gas,Mixta,63.8,Otoño,13.3,1754.69,True,18,0.196,343.92,34.2,Moderate
2039,Departamento,58.8,1,1,40.0,Poor,E,False,1,True,17.9,5230.05,0,1,1,3,1,1,10,True,Gas,LED,79.1,Invierno,5.4,283.56,True,22,0.165,46.79,18.3,Inefficient
2040,Casa,138.8,2,2,20.0,Good,C,False,3,False,15.1,4043.84,1,2,8,1,1,0,18,True,Losa Radiante,Mixta,67.2,Otoño,18.1,514.23,True,23,0.158,81.25,48.7,Moderate
2041,Casa,83.6,2,1,38.0,Poor,A,False,1,False,12.6,1283.63,0,1,1,2,1,0,11,True,Gas,LED,66.5,Invierno,8.9,185.33,True,16,0.208,38.55,42.5,Moderate
2042,Casa,98.4,3,1,25.0,Good,A,False,2,True,15.8,4057.88,2,1,1,4,1,0,12,False,Ninguna,Incandescente,42.6,Invierno,7.8,819.06,True,20,0.196,160.54,19.8,Inefficient
2043,Departamento,67.6,1,3,31.0,Average,B,False,1,False,8.0,,0,1,0,1,1,0,8,True,Gas,Incandescente,60.4,Primavera,18.9,243.41,True,21,0.208,50.63,27.4,Moderate
2044,Casa,106.2,4,5,16.0,Excellent,B,False,1,True,17.4,1091.36,0,1,1,3,1,0,10,True,Eléctrica,Mixta,78.1,Verano,25.7,400.35,True,18,0.186,74.47,41.0,Moderate
2045,Casa,218.1,8,5,40.0,Poor,E,False,7,False,13.9,3243.96,5,1,6,4,1,0,22,True,Gas,Mixta,50.8,Otoño,14.5,963.33,True,18,0.149,143.54,20.6,Inefficient
2046,Departamento,51.5,2,2,30.0,Poor,B,False,2,False,14.3,429.83,0,1,3,2,1,1,14,True,Eléctrica,Incandescente,53.6,Invierno,8.8,736.43,True,20,0.2,147.29,2.7,Inefficient
2047,Casa,119.4,6,3,15.0,Average,D,False,8,True,15.8,1243.8,1,1,7,4,1,0,19,True,Eléctrica,Mixta,89.2,Primavera,20.7,805.02,True,18,0.176,141.68,34.2,Moderate
2048,Casa,119.1,2,1,19.0,Good,C,False,2,True,19.3,1247.18,0,1,1,4,1,0,12,False,Ninguna,Mixta,88.6,Verano,28.4,612.57,True,19,0.168,102.91,35.7,Moderate
2049,Casa,144.9,5,1,44.0,Good,C,False,8,False,13.0,1331.7,0,2,3,6,1,0,17,False,Ninguna,Mixta,62.8,Otoño,16.1,658.78,True,18,0.186,122.53,42.6,Moderate
2050,Casa,171.1,8,5,20.0,Good,E,False,3,True,19.9,3330.63,3,1,0,2,1,0,13,True,Eléctrica,Mixta,76.3,Otoño,11.3,612.33,True,19,0.202,123.69,30.3,Moderate
2051,Pequeño Comercio,93.1,1,3,23.0,Good,E,True,2,False,14.8,1094.79,0,2,5,2,0,0,12,True,Eléctrica,Mixta,77.4,Invierno,6.6,492.1,True,18,0.17,83.66,61.1,Efficient
2052,Casa,107.8,6,3,20.0,Good,A,True,7,False,14.9,3597.59,0,2,2,7,1,0,17,True,Eléctrica,LED,99.1,Verano,31.9,280.97,True,17,0.162,45.52,88.9,Efficient
2053,Departamento,51.4,2,3,40.0,Poor,A,False,4,False,11.6,405.2,0,2,3,5,1,0,14,False,Ninguna,Mixta,61.8,Otoño,19.5,276.9,True,19,0.2,55.38,36.3,Moderate
2054,Casa,80.3,2,1,30.0,Poor,B,False,4,False,9.4,1026.39,1,1,1,4,1,0,14,True,Eléctrica,LED,59.0,Invierno,10.0,311.65,True,15,0.169,52.67,37.9,Moderate
2055,Casa,181.1,8,5,31.0,Average,D,False,8,False,16.0,3142.82,4,1,4,8,1,1,24,True,Gas,Incandescente,72.6,Verano,26.4,1982.71,True,16,0.191,378.7,17.0,Inefficient
2056,Casa,121.7,3,2,61.0,Average,E,False,1,True,20.4,,2,1,0,2,1,0,9,True,Gas,Mixta,63.0,Primavera,22.3,382.81,True,19,0.153,58.57,7.5,Inefficient
2057,Casa,326.6,8,5,46.0,Poor,A,False,8,False,,5810.59,3,2,3,5,1,0,23,True,Gas,LED,74.6,Invierno,7.4,378.96,True,16,0.154,58.36,46.0,Moderate
2058,Casa,87.2,6,3,10.0,Excellent,C,False,5,True,18.3,1456.35,1,2,2,6,1,0,18,True,Eléctrica,Mixta,64.8,Verano,26.5,938.17,True,15,0.166,155.74,52.6,Moderate
2059,Casa,99.2,3,1,15.0,Average,A,False,5,False,11.7,719.76,1,1,2,4,1,0,10,True,Eléctrica,LED,62.9,Invierno,9.4,332.32,True,19,0.211,70.12,58.0,Efficient
2060,Departamento,60.9,1,1,53.0,Average,E,False,3,False,21.2,888.8,0,2,1,6,1,0,14,True,Gas,Mixta,73.4,Primavera,22.1,531.38,True,16,0.177,94.05,31.3,Moderate
2061,Casa,123.4,4,2,26.0,Excellent,A,False,2,True,24.0,1334.47,1,1,3,2,1,1,19,True,Eléctrica,Mixta,77.2,Invierno,8.2,986.1,True,19,0.156,153.83,43.2,Moderate
2062,Casa,104.0,3,1,,Poor,A,False,2,True,19.5,4008.57,2,1,0,1,1,1,10,False,Ninguna,Mixta,70.0,Verano,25.0,1002.07,True,18,0.19,190.39,11.4,Inefficient
2063,Departamento,101.4,3,1,68.0,Average,D,False,1,False,10.4,1126.35,0,2,0,0,1,0,6,True,Gas,Incandescente,24.1,Otoño,13.1,221.41,True,17,0.184,40.74,16.3,Inefficient
2064,Casa,137.7,4,3,35.0,Poor,B,False,4,True,20.9,837.33,0,1,4,4,1,0,16,True,Gas,Mixta,54.9,Verano,32.4,896.93,True,21,0.182,163.24,30.6,Moderate
2065,Departamento,40.5,1,1,11.0,Average,B,False,5,False,11.9,1283.51,1,2,6,1,1,1,18,False,Ninguna,Mixta,63.2,Primavera,16.4,482.07,True,18,0.184,88.7,44.6,Moderate
2066,Casa,92.7,1,1,72.0,Poor,E,False,3,True,17.3,1159.2,1,2,2,4,1,0,13,True,Gas,Incandescente,37.5,Invierno,10.4,969.27,True,17,0.203,196.76,0.0,Inefficient
2067,Casa,168.8,4,3,21.0,Good,B,False,1,False,10.3,2195.79,1,1,1,0,1,0,9,True,Eléctrica,Incandescente,76.7,Invierno,11.4,435.61,True,15,0.167,72.75,14.0,Inefficient
2068,Departamento,48.0,3,4,,Good,C,False,4,True,22.3,692.17,1,1,3,6,1,0,16,True,Eléctrica,Mixta,78.0,Primavera,19.8,897.38,True,18,0.164,147.17,46.9,Moderate
2069,Pequeño Comercio,184.4,5,1,28.0,Excellent,A,False,6,False,11.9,1773.54,1,3,6,9,0,0,23,True,Eléctrica,Incandescente,60.2,Invierno,6.7,1245.59,True,19,0.196,244.14,52.8,Efficient
2070,Casa,180.2,5,5,36.0,Good,D,False,2,True,20.8,864.97,2,1,1,3,1,0,16,True,Gas,Mixta,66.5,Invierno,11.3,871.4,True,19,0.2,174.28,8.8,Inefficient
2071,Casa,78.2,2,1,58.0,Average,E,False,4,True,24.0,657.26,1,1,3,1,1,0,11,False,Ninguna,Mixta,53.8,Otoño,14.6,784.18,True,20,0.145,113.71,29.2,Moderate
2072,Casa,86.7,5,2,13.0,Excellent,C,True,4,False,11.3,677.99,0,2,4,4,1,0,16,True,Eléctrica,LED,65.0,Otoño,11.7,277.56,True,19,0.186,51.63,76.8,Efficient
2073,Departamento,88.3,1,1,19.0,Excellent,D,False,1,False,8.3,1406.23,0,1,1,0,1,0,9,True,Eléctrica,Mixta,74.0,Otoño,15.2,175.67,True,19,0.206,36.19,56.4,Efficient
2074,Departamento,57.2,2,3,,Excellent,D,False,1,False,10.6,715.6,1,1,1,0,1,0,10,False,Ninguna,Mixta,72.9,Otoño,12.0,202.34,True,22,0.18,36.42,56.3,Efficient
2075,Casa,100.8,4,3,56.0,Poor,E,False,5,False,13.2,2393.49,0,1,4,4,1,0,16,True,Gas,Mixta,67.2,Verano,25.9,490.29,True,18,0.162,79.43,15.8,Inefficient
2076,Casa,184.2,4,4,19.0,Good,C,False,5,False,13.4,1026.77,0,1,6,2,1,0,19,False,Ninguna,Incandescente,87.0,Verano,25.5,804.04,True,16,0.202,162.42,48.7,Moderate
2077,Departamento,74.0,3,1,13.0,Excellent,A,False,3,False,9.5,605.1,0,1,2,1,1,0,12,True,Eléctrica,LED,83.1,Invierno,10.4,172.94,True,16,0.165,28.54,80.7,Efficient
2078,Casa,155.9,5,5,36.0,Poor,B,False,4,True,18.9,4466.56,1,1,2,7,1,0,18,True,Gas,LED,63.0,Otoño,13.7,714.41,True,17,0.184,131.45,48.5,Moderate
2079,Casa,115.8,3,1,40.0,Excellent,C,False,1,False,12.5,1561.36,2,1,1,1,1,0,12,True,Gas,Incandescente,65.1,Otoño,12.2,397.39,True,21,0.189,75.11,18.4,Inefficient
2080,Casa,79.2,1,1,52.0,Excellent,D,False,1,True,20.7,1346.52,0,2,2,3,1,0,10,True,Gas,Mixta,63.8,Primavera,14.7,391.56,True,21,0.2,78.31,31.0,Moderate
2081,Departamento,49.1,1,1,20.0,Poor,B,False,1,False,14.7,1527.71,2,1,0,0,1,0,11,False,Ninguna,Incandescente,81.3,Invierno,6.3,404.88,True,20,0.194,78.55,8.1,Inefficient
2082,Casa,102.5,1,1,16.0,Poor,C,False,1,False,10.8,,1,1,0,0,1,0,8,True,Eléctrica,Mixta,74.5,Primavera,21.6,139.94,True,17,0.159,22.25,39.4,Moderate
2083,Casa,77.9,4,3,,Average,E,False,3,True,21.0,1087.82,0,1,4,2,1,1,14,True,Gas,Mixta,56.9,Invierno,8.5,592.52,True,20,0.197,116.73,17.4,Inefficient
2084,Casa,118.1,3,1,16.0,Good,A,False,4,False,14.8,1498.76,3,1,5,1,1,0,14,True,Eléctrica,Mixta,,Verano,24.6,718.41,True,20,0.158,113.51,68.8,Efficient
2085,Departamento,152.5,6,3,16.0,Excellent,C,True,3,False,11.3,3597.25,1,1,4,3,1,0,15,True,Eléctrica,Incandescente,73.3,Verano,26.8,314.71,True,16,0.207,65.14,74.1,Efficient
2086,Departamento,66.5,4,4,24.0,Good,D,False,4,True,19.6,848.65,2,2,3,2,1,1,17,True,Eléctrica,LED,77.9,Invierno,10.3,637.12,True,19,0.196,124.88,54.2,Efficient
2087,Departamento,46.2,2,4,49.0,Poor,D,False,1,True,19.4,,1,1,1,2,1,0,15,True,Gas,Mixta,47.1,Primavera,16.5,582.45,True,21,0.156,90.86,0.0,Inefficient
2088,Departamento,102.8,2,1,20.0,Poor,E,False,3,False,10.3,1403.78,1,2,2,4,1,0,13,True,Eléctrica,LED,99.4,Otoño,15.5,219.26,True,19,0.183,40.12,42.2,Moderate
2089,Casa,65.2,1,1,73.0,Poor,E,False,1,True,16.2,791.95,2,1,0,2,1,0,9,False,Ninguna,Mixta,39.2,Invierno,9.4,383.67,True,16,0.186,71.36,0.0,Inefficient
2090,Casa,250.0,4,2,17.0,Poor,E,False,3,True,23.7,2924.83,3,1,5,3,1,0,19,True,Eléctrica,Mixta,83.1,Otoño,13.4,1044.65,True,22,0.178,185.95,10.9,Inefficient
2091,Departamento,54.6,1,1,71.0,Average,E,False,1,False,16.8,1141.97,0,1,0,0,1,0,11,True,Gas,Mixta,54.5,Verano,27.8,344.17,True,21,0.197,67.8,3.6,Inefficient
2092,Casa,80.7,1,1,47.0,Average,E,False,1,False,,,0,1,0,0,1,0,9,True,Gas,LED,55.3,Primavera,18.5,132.25,True,23,0.163,21.56,36.7,Moderate
2093,Departamento,48.8,2,1,20.0,Good,A,False,1,True,17.8,827.63,0,1,0,3,1,0,9,True,Eléctrica,Incandescente,65.1,Otoño,14.4,430.14,True,19,0.177,76.13,13.2,Inefficient
2094,Pequeño Comercio,78.9,1,1,50.0,Poor,C,False,2,False,8.0,1392.17,1,2,3,1,0,0,14,True,Gas,Mixta,55.7,Invierno,3.5,270.46,True,17,0.178,48.14,32.0,Moderate
2095,Departamento,96.7,3,2,2.0,Good,B,False,2,False,15.3,1168.7,0,1,2,3,1,0,12,True,Eléctrica,LED,73.4,Primavera,23.3,243.01,True,17,0.191,46.41,66.0,Efficient
2096,Departamento,43.5,2,2,20.0,Excellent,A,False,2,True,18.0,625.0,0,1,2,1,1,0,8,True,Eléctrica,Incandescente,81.6,Otoño,12.3,385.2,True,20,0.166,63.94,61.4,Efficient
2097,Casa,120.0,1,1,37.0,Poor,D,False,1,False,8.0,617.78,0,1,1,0,1,0,7,True,Gas,Mixta,63.4,Verano,30.9,138.96,True,18,0.167,23.21,23.6,Inefficient
2098,Casa,64.1,1,1,,Poor,E,False,5,False,10.3,765.54,0,2,4,3,1,1,15,False,Ninguna,Mixta,40.5,Verano,24.7,396.5,True,17,0.177,70.18,23.4,Inefficient
2099,Departamento,66.8,3,5,14.0,Good,B,False,3,False,9.0,1121.93,0,1,4,5,1,0,19,False,Ninguna,LED,65.2,Otoño,15.0,235.85,True,21,0.185,43.63,69.4,Efficient
2100,Casa,231.2,6,3,23.0,Excellent,D,True,5,True,13.6,3056.11,5,1,4,7,1,1,26,True,Eléctrica,Mixta,57.1,Verano,29.3,605.53,True,20,0.19,115.05,69.7,Efficient
2101,Departamento,90.9,2,1,41.0,Poor,E,False,2,True,17.0,1690.6,2,2,0,2,1,1,13,False,Ninguna,Incandescente,80.1,Verano,30.1,915.23,True,20,0.16,146.44,0.0,Inefficient
2102,Departamento,34.0,1,1,42.0,Excellent,C,False,1,True,17.2,799.96,0,1,1,2,1,0,10,False,Ninguna,Mixta,64.6,Invierno,9.9,247.15,True,19,0.184,45.48,51.2,Moderate
2103,Departamento,65.1,1,4,37.0,Average,A,False,1,False,13.3,676.84,0,1,0,2,1,0,7,True,Gas,LED,61.9,Primavera,21.7,163.41,True,19,0.174,28.43,52.9,Efficient
2104,Casa,99.9,3,4,60.0,Average,E,False,1,False,11.6,1430.37,0,1,0,1,1,0,8,True,Gas,Mixta,51.9,Primavera,21.5,221.08,True,18,0.202,44.66,20.1,Inefficient
2105,Casa,129.3,4,2,28.0,Average,E,False,1,False,15.8,1588.99,0,2,1,1,1,0,8,True,Eléctrica,Mixta,63.8,Invierno,6.5,532.97,True,17,0.205,109.26,3.2,Inefficient
2106,Departamento,40.6,1,2,16.0,Poor,B,False,1,False,9.2,305.1,1,1,1,2,1,0,8,True,Eléctrica,Mixta,90.3,Primavera,24.4,150.02,True,17,0.18,27.0,39.9,Moderate
2107,Casa,164.1,2,1,47.0,Poor,E,False,1,False,10.4,793.24,0,1,0,1,1,0,8,False,Ninguna,Mixta,42.0,Primavera,23.4,260.72,True,18,0.218,56.84,8.1,Inefficient
2108,Casa,211.0,6,3,20.0,Good,A,False,8,False,13.4,5727.7,3,2,4,7,1,0,21,True,Losa Radiante,LED,81.4,Primavera,24.8,587.0,True,18,0.146,85.7,75.3,Efficient
2109,Casa,166.4,3,1,52.0,Good,D,False,2,False,16.2,3191.21,1,1,0,1,1,0,10,True,Gas,Incandescente,47.9,Invierno,8.7,495.85,True,17,0.199,98.67,26.7,Moderate
2110,Departamento,93.8,4,4,8.0,Excellent,B,False,7,False,10.7,422.47,1,2,4,4,1,0,18,True,Eléctrica,LED,63.7,Invierno,11.3,462.19,True,20,0.212,97.98,78.3,Efficient
2111,Casa,113.0,2,1,61.0,Good,E,False,3,False,9.5,1172.32,1,1,3,6,1,0,16,True,Gas,Mixta,50.9,Otoño,10.0,440.34,True,17,0.17,74.86,36.6,Moderate
2112,Casa,125.0,5,4,2.0,Excellent,C,False,5,False,8.1,1958.65,1,1,5,6,1,1,21,True,Eléctrica,LED,87.7,Otoño,16.6,303.71,True,20,0.159,48.29,76.7,Efficient
2113,Casa,165.6,5,2,10.0,Good,A,True,3,True,15.0,2257.19,4,1,1,5,1,0,20,True,Eléctrica,Mixta,67.3,Verano,28.7,863.01,True,19,0.126,108.74,64.0,Efficient
2114,Departamento,62.4,4,3,13.0,Good,B,False,3,True,18.4,,1,1,2,4,1,0,13,False,Ninguna,Incandescente,82.2,Verano,30.6,942.95,True,19,0.167,157.47,36.6,Moderate
2115,Casa,83.5,2,2,39.0,Excellent,E,False,2,False,8.2,641.37,0,1,5,1,1,0,12,True,Gas,LED,71.6,Invierno,8.6,171.51,True,19,0.196,33.62,60.2,Efficient
2116,Casa,83.1,2,2,29.0,Average,E,False,3,False,9.7,797.46,0,1,1,1,1,0,7,True,Eléctrica,Mixta,47.0,Invierno,6.0,288.69,True,20,0.175,50.52,29.9,Moderate
2117,Departamento,46.5,2,2,4.0,Good,E,False,1,True,20.7,491.2,1,1,1,3,1,0,12,True,Eléctrica,Mixta,78.3,Primavera,16.4,439.0,True,21,0.14,61.46,21.6,Inefficient
2118,Departamento,85.2,3,1,11.0,Good,A,False,6,False,14.7,1488.71,0,1,7,4,1,0,16,True,Eléctrica,Incandescente,87.0,Invierno,3.0,1059.37,True,15,0.124,131.36,59.1,Efficient
2119,Casa,121.7,7,1,31.0,Excellent,C,False,3,False,9.9,,1,1,1,2,1,0,8,True,Gas,Mixta,59.3,Primavera,17.4,240.77,True,20,0.19,45.75,53.0,Efficient
2120,Casa,83.8,3,3,53.0,Average,E,False,3,True,19.4,272.59,0,1,2,2,1,0,20,True,Gas,Incandescente,33.9,Invierno,4.2,905.62,True,18,0.19,172.07,7.9,Inefficient
2121,Casa,187.0,4,2,16.0,Good,B,False,3,True,20.2,4335.67,1,1,2,3,1,0,12,True,Losa Radiante,Mixta,71.4,Verano,24.8,693.67,True,17,0.182,126.25,47.5,Moderate
2122,Departamento,59.1,1,1,73.0,Poor,E,False,1,False,15.9,416.11,0,1,1,1,1,1,9,True,Gas,Mixta,48.9,Primavera,22.3,285.88,True,18,0.201,57.46,11.7,Inefficient
2123,Departamento,44.8,1,2,39.0,Poor,D,False,1,True,18.2,2203.48,0,1,1,2,1,0,9,True,Gas,Mixta,70.0,Verano,32.1,220.74,True,20,0.192,42.38,17.6,Inefficient
2124,Departamento,43.1,3,1,7.0,Good,A,False,2,True,14.3,,0,1,4,1,1,0,11,True,Eléctrica,LED,79.0,Invierno,7.1,353.84,True,23,0.155,54.85,69.4,Efficient
2125,Casa,68.1,3,1,19.0,Good,E,False,3,True,16.2,305.16,2,1,2,4,1,0,15,True,Eléctrica,Incandescente,86.9,Primavera,15.9,638.73,True,18,0.185,118.17,37.7,Moderate
2126,Departamento,57.4,1,1,12.0,Excellent,D,False,1,False,11.7,886.7,1,2,0,1,1,0,12,True,Eléctrica,LED,71.0,Invierno,9.5,200.45,True,16,0.199,39.89,56.1,Efficient
2127,Casa,57.4,1,1,37.0,Excellent,A,True,2,True,22.2,1720.6,0,1,1,2,1,0,9,True,Gas,LED,50.5,Invierno,8.2,285.22,True,19,0.172,49.06,94.1,Efficient
2128,Casa,113.0,3,5,31.0,Poor,C,False,1,False,12.2,1893.89,1,1,0,1,1,0,6,True,Gas,Mixta,65.2,Invierno,4.8,222.25,True,16,0.189,42.01,11.3,Inefficient
2129,Departamento,30.8,1,1,12.0,Good,E,False,2,False,15.7,348.32,1,1,0,1,1,0,10,False,Ninguna,Incandescente,83.1,Otoño,14.0,329.09,True,19,0.185,60.88,36.3,Moderate
2130,Casa,85.1,1,2,27.0,Excellent,E,False,1,True,24.0,773.06,2,1,1,1,1,0,9,True,Eléctrica,Incandescente,51.8,Primavera,18.8,616.54,True,18,0.18,110.98,3.7,Inefficient
2131,Departamento,43.0,1,1,35.0,Excellent,D,False,2,True,20.5,648.65,0,1,1,5,1,0,12,True,Gas,Mixta,,Invierno,7.5,461.2,True,22,0.158,72.87,45.2,Moderate
2132,Departamento,69.4,4,4,28.0,Excellent,E,False,2,True,16.5,356.45,1,1,2,2,1,0,16,True,Eléctrica,Mixta,65.0,Verano,30.9,556.83,True,22,0.207,115.26,35.2,Moderate
2133,Casa,187.0,3,2,0.0,Excellent,A,False,4,False,15.3,1041.34,1,1,3,0,1,0,8,False,Ninguna,LED,69.7,Verano,24.6,564.54,True,22,0.195,110.09,76.7,Efficient
2134,Casa,140.4,4,1,,Excellent,C,False,4,False,9.9,2113.51,2,1,3,2,1,0,16,True,Eléctrica,LED,78.7,Verano,27.1,303.98,True,15,0.224,68.09,67.4,Efficient
2135,Departamento,46.2,1,1,61.0,Average,D,False,1,True,16.1,749.34,1,1,2,1,1,0,15,False,Ninguna,Mixta,49.4,Otoño,14.9,468.17,True,16,0.203,95.04,0.0,Inefficient
2136,Departamento,50.8,3,3,16.0,Good,A,False,2,False,19.8,749.71,0,1,1,3,1,0,7,True,Eléctrica,Mixta,65.9,Otoño,12.5,344.87,True,18,0.179,61.73,64.7,Efficient
2137,Casa,124.8,1,1,21.0,Poor,D,False,2,False,10.1,1531.25,0,1,1,4,1,0,10,True,Eléctrica,Mixta,77.1,Verano,30.1,148.23,True,19,0.178,26.38,38.6,Moderate
2138,Casa,187.1,8,5,15.0,Poor,B,False,6,False,11.1,14014.95,4,1,2,10,1,0,26,True,Losa Radiante,Mixta,80.4,Otoño,16.0,810.61,True,20,0.197,159.69,37.6,Moderate
